;X coordinate;Y coordinate;Z coordinate;Red color (0-255);Green color (0-255);Blue color (0-255);X scan dir;Y scan dir;Z scan dir;Hue (°);Saturation (%);Value (%)
X coordinate;1.0;-0.5512483483069011;-0.4427251314190268;0.04066396969334296;0.03752550382193547;0.03737453810789184;0.0003316509577269919;-0.005854963177155574;0.011622177362240624;0.01992473132610406;-0.028172339250893942;0.03607025254116008
Y coordinate;-0.5512483483069011;1.0;-0.08546240861293088;-0.12518512197271345;-0.120927578522991;-0.08373315076009137;0.11914328091235013;0.06405542285478585;0.05507283370245542;0.08172598667566515;0.14153275221379624;-0.10535834902151114
Z coordinate;-0.4427251314190268;-0.08546240861293088;1.0;0.09760409171250983;0.06502928986767705;0.0045659272443879005;-0.1278231057995267;-0.0568508488707868;0.13286882982340967;-0.21647488795828448;-0.3103913892371342;0.03706607754970366
Red color (0-255);0.04066396969334296;-0.12518512197271345;0.09760409171250983;1.0;0.9845368911699017;0.9517148541956518;-0.12459579872996408;-0.12516482224160308;0.17783847986755927;0.11738933793647004;-0.5345794483573667;0.9770090085050679
Green color (0-255);0.03752550382193547;-0.120927578522991;0.06502928986767705;0.9845368911699017;1.0;0.9814122892916789;-0.0792508091848483;-0.07635116061947775;0.17440097173020475;0.2295091742803061;-0.4325201930423185;0.9954613384041764
Blue color (0-255);0.03737453810789184;-0.08373315076009137;0.0045659272443879005;0.9517148541956518;0.9814122892916789;1.0;-0.05031032967417258;-0.011387333237029305;0.17166306029307485;0.3743968430507275;-0.3568135050612298;0.9896275875281096
X scan dir;0.0003316509577269919;0.11914328091235013;-0.1278231057995267;-0.12459579872996408;-0.0792508091848483;-0.05031032967417258;1.0;0.011676469958458714;-0.020921556715565642;0.2041184476196022;0.21493556565598404;-0.07843971914420377
Y scan dir;-0.005854963177155574;0.06405542285478585;-0.0568508488707868;-0.12516482224160308;-0.07635116061947775;-0.011387333237029305;0.011676469958458714;1.0;0.003930816446807304;0.3413209325257095;0.17206811238476616;-0.07130069328684406
Z scan dir;0.011622177362240624;0.05507283370245542;0.13286882982340967;0.17783847986755927;0.17440097173020475;0.17166306029307485;-0.020921556715565642;0.003930816446807304;1.0;0.01702210215023203;-0.17214912044197422;0.16717115665059454
Hue (°);0.01992473132610406;0.08172598667566515;-0.21647488795828448;0.11738933793647004;0.2295091742803061;0.3743968430507275;0.2041184476196022;0.3413209325257095;0.01702210215023203;1.0;0.247112210817289;0.2608591288623274
Saturation (%);-0.028172339250893942;0.14153275221379624;-0.3103913892371342;-0.5345794483573667;-0.4325201930423185;-0.3568135050612298;0.21493556565598404;0.17206811238476616;-0.17214912044197422;0.247112210817289;1.0;-0.3860034002475166
Value (%);0.03607025254116008;-0.10535834902151114;0.03706607754970366;0.9770090085050679;0.9954613384041764;0.9896275875281096;-0.07843971914420377;-0.07130069328684406;0.16717115665059454;0.2608591288623274;-0.3860034002475166;1.0
