;X coordinate;Y coordinate;Z coordinate;Red color (0-255);Green color (0-255);Blue color (0-255);X scan dir;Y scan dir;Z scan dir;Hue (°);Saturation (%);Value (%)
X coordinate;1.0;-0.3091721815567695;-0.4959306256452073;0.029491092399493987;-0.00398858828892477;-0.04301888803707598;-0.12088345083110213;-0.010359279537707752;-0.004043388806132885;-0.21527267342426526;0.11728722128433049;0.009370091271176427
Y coordinate;-0.3091721815567695;1.0;-0.12412877631571799;-0.41887427924494935;-0.4283931823548721;-0.3790256929345506;-0.09234888418376874;0.04252200212249643;0.25548674873632565;-0.16883388321076784;0.28449912107100606;-0.3766122164071862
Z coordinate;-0.4959306256452073;-0.12412877631571799;1.0;-0.08315344616981087;-0.08055122598176662;-0.054929817060985264;0.1351411974644974;-0.07786765390756889;0.09862170584892908;0.0582939441265246;0.0244949503223459;-0.07177953097295403
Red color (0-255);0.029491092399493987;-0.41887427924494935;-0.08315344616981087;1.0;0.9847001841122514;0.9314082969991718;-0.11170826563787932;-0.13226866257952066;-0.1844154539240211;0.31727801625236063;-0.15666116043797837;0.9662663506224987
Green color (0-255);-0.00398858828892477;-0.4283931823548721;-0.08055122598176662;0.9847001841122514;1.0;0.9656053222310258;-0.07677244092333155;-0.0856849387297634;-0.19098635175561243;0.38598167568798925;-0.20353980663631557;0.9777771219286112
Blue color (0-255);-0.04301888803707598;-0.3790256929345506;-0.054929817060985264;0.9314082969991718;0.9656053222310258;1.0;-0.03787134898071555;-0.04246389612073917;-0.10098192678682294;0.48833073726753345;-0.0943079911199427;0.9820798921737093
X scan dir;-0.12088345083110213;-0.09234888418376874;0.1351411974644974;-0.11170826563787932;-0.07677244092333155;-0.03787134898071555;1.0;0.0077813981708205774;0.17864808519146264;0.09192431214272256;-0.06849893979285576;-0.07863070000224288
Y scan dir;-0.010359279537707752;0.04252200212249643;-0.07786765390756889;-0.13226866257952066;-0.0856849387297634;-0.04246389612073917;0.0077813981708205774;1.0;-0.02363028832172734;0.05486219850576801;0.023893592962814292;-0.07764926657885642
Z scan dir;-0.004043388806132885;0.25548674873632565;0.09862170584892908;-0.1844154539240211;-0.19098635175561243;-0.10098192678682294;0.17864808519146264;-0.02363028832172734;1.0;0.03674125380407672;0.19999712680396206;-0.13146567689097532
Hue (°);-0.21527267342426526;-0.16883388321076784;0.0582939441265246;0.31727801625236063;0.38598167568798925;0.48833073726753345;0.09192431214272256;0.05486219850576801;0.03674125380407672;1.0;-0.37814857272852587;0.3615143195695321
Saturation (%);0.11728722128433049;0.28449912107100606;0.0244949503223459;-0.15666116043797837;-0.20353980663631557;-0.0943079911199427;-0.06849893979285576;0.023893592962814292;0.19999712680396206;-0.37814857272852587;1.0;-0.012660340706137073
Value (%);0.009370091271176427;-0.3766122164071862;-0.07177953097295403;0.9662663506224987;0.9777771219286112;0.9820798921737093;-0.07863070000224288;-0.07764926657885642;-0.13146567689097532;0.3615143195695321;-0.012660340706137073;1.0
