;X coordinate;Y coordinate;Z coordinate;Red color (0-255);Green color (0-255);Blue color (0-255);X scan dir;Y scan dir;Z scan dir;Hue (°);Saturation (%);Value (%)
X coordinate;1.0;0.13205097228658658;-0.7734278688890621;0.3925762393422514;0.4170110343652286;0.3728340170823796;0.016237148336436972;0.014627060077834481;-0.07075555147655617;0.08194973066534236;0.019035981244149305;0.4115059125054349
Y coordinate;0.13205097228658658;1.0;-0.3421104366364527;0.15039922427977234;0.18353941819000824;0.17167280866918758;-0.04938398068916968;-0.0797421541637171;-0.05012204223826649;0.06614398095150477;0.10117545718668237;0.18294957279749707
Z coordinate;-0.7734278688890621;-0.3421104366364527;1.0;-0.4760866504995114;-0.5060335016904892;-0.449333290500113;-0.030409609310462212;-0.02364272526610983;0.016534276222290503;-0.09464203755339605;-0.0006470384802096879;-0.496193622248939
Red color (0-255);0.3925762393422514;0.15039922427977234;-0.4760866504995114;1.0;0.9770828369581209;0.9372289745460215;-0.009984139395905818;-0.043420716313342454;0.016708624618999326;0.3148639430214356;-0.4760928859273794;0.973360888351968
Green color (0-255);0.4170110343652286;0.18353941819000824;-0.5060335016904892;0.9770828369581209;1.0;0.9738458825733308;0.03626117794945281;-0.025344022860518668;0.025041369223870236;0.43078328992485;-0.3659020865019413;0.9953912886302035
Blue color (0-255);0.3728340170823796;0.17167280866918758;-0.449333290500113;0.9372289745460215;0.9738458825733308;1.0;0.07037124452777357;-0.012471562918532214;0.00046935417298405894;0.5941686784338372;-0.3166244784109594;0.9826652467392285
X scan dir;0.016237148336436972;-0.04938398068916968;-0.030409609310462212;-0.009984139395905818;0.03626117794945281;0.07037124452777357;1.0;-0.005285808458175077;0.017466973173058644;0.1876367633034433;0.1335189568369197;0.036911999526773924
Y scan dir;0.014627060077834481;-0.0797421541637171;-0.02364272526610983;-0.043420716313342454;-0.025344022860518668;-0.012471562918532214;-0.005285808458175077;1.0;0.006489570068762949;0.05966488046750018;0.04370057053411351;-0.025813670250429854
Z scan dir;-0.07075555147655617;-0.05012204223826649;0.016534276222290503;0.016708624618999326;0.025041369223870236;0.00046935417298405894;0.017466973173058644;0.006489570068762949;1.0;-0.0047093742762642585;-0.10964287552714654;0.004996789837671344
Hue (°);0.08194973066534236;0.06614398095150477;-0.09464203755339605;0.3148639430214356;0.43078328992485;0.5941686784338372;0.1876367633034433;0.05966488046750018;-0.0047093742762642585;1.0;0.03523665198608709;0.4576105614303492
Saturation (%);0.019035981244149305;0.10117545718668237;-0.0006470384802096879;-0.4760928859273794;-0.3659020865019413;-0.3166244784109594;0.1335189568369197;0.04370057053411351;-0.10964287552714654;0.03523665198608709;1.0;-0.32778059078561483
Value (%);0.4115059125054349;0.18294957279749707;-0.496193622248939;0.973360888351968;0.9953912886302035;0.9826652467392285;0.036911999526773924;-0.025813670250429854;0.004996789837671344;0.4576105614303492;-0.32778059078561483;1.0
