;X coordinate;Y coordinate;Z coordinate;Red color (0-255);Green color (0-255);Blue color (0-255);X scan dir;Y scan dir;Z scan dir;Hue (°);Saturation (%);Value (%)
X coordinate;1.0;-0.09176725772784367;-0.3714879169252441;-0.07075804618640752;-0.08618649490620668;-0.10584775372389972;-0.02699719605296642;0.01052975708283229;-0.05017291446941051;-0.11545205584048818;0.09728593766704902;-0.06895153206748239
Y coordinate;-0.09176725772784367;1.0;-0.01305613805159404;-0.13652574688213182;-0.08116488378470682;-0.03810006836944873;0.023697368769988736;0.017879294568697614;-0.06604661845417066;0.07588333849057163;-0.07144435658805683;-0.13499794718950747
Z coordinate;-0.3714879169252441;-0.01305613805159404;1.0;0.04620618525289697;0.024792133285577764;0.0640180784176378;0.020772505595808344;0.004805716356016249;0.06894305231176746;0.07749404410768866;-0.05471095811915056;0.04558316815458239
Red color (0-255);-0.07075804618640752;-0.13652574688213182;0.04620618525289697;1.0;0.8964433104530329;0.7809735750660481;-0.11443818783237565;-0.30766458884179004;0.17093258824287044;0.01282560086703969;-0.12479041271264511;0.9976493346362479
Green color (0-255);-0.08618649490620668;-0.08116488378470682;0.024792133285577764;0.8964433104530329;1.0;0.9402696019164617;0.0005108881076789406;-0.2067191652331609;0.056396951288871726;0.16842117480817895;-0.4973103166271966;0.9038965701907726
Blue color (0-255);-0.10584775372389972;-0.03810006836944873;0.0640180784176378;0.7809735750660481;0.9402696019164617;1.0;0.10733513802611855;-0.06458125500962071;0.07596974665231039;0.3935046322772837;-0.6632694747202499;0.7952604190376067
X scan dir;-0.02699719605296642;0.023697368769988736;0.020772505595808344;-0.11443818783237565;0.0005108881076789406;0.10733513802611855;1.0;-0.03592636148364983;0.1389095063736491;0.34246910705509115;-0.28963840206124775;-0.11141814393307728
Y scan dir;0.01052975708283229;0.017879294568697614;0.004805716356016249;-0.30766458884179004;-0.2067191652331609;-0.06458125500962071;-0.03592636148364983;1.0;0.09711202666417697;0.2655309056260861;-0.2211378123578274;-0.3022802720681041
Z scan dir;-0.05017291446941051;-0.06604661845417066;0.06894305231176746;0.17093258824287044;0.056396951288871726;0.07596974665231039;0.1389095063736491;0.09711202666417697;1.0;0.08756673575623922;0.08275859384036972;0.1665550500247146
Hue (°);-0.11545205584048818;0.07588333849057163;0.07749404410768866;0.01282560086703969;0.16842117480817895;0.3935046322772837;0.34246910705509115;0.2655309056260861;0.08756673575623922;1.0;-0.5147062021313015;0.01789844964667167
Saturation (%);0.09728593766704902;-0.07144435658805683;-0.05471095811915056;-0.12479041271264511;-0.4973103166271966;-0.6632694747202499;-0.28963840206124775;-0.2211378123578274;0.08275859384036972;-0.5147062021313015;1.0;-0.13384976345938154
Value (%);-0.06895153206748239;-0.13499794718950747;0.04558316815458239;0.9976493346362479;0.9038965701907726;0.7952604190376067;-0.11141814393307728;-0.3022802720681041;0.1665550500247146;0.01789844964667167;-0.13384976345938154;1.0
