;X coordinate;Y coordinate;Z coordinate;Red color (0-255);Green color (0-255);Blue color (0-255);X scan dir;Y scan dir;Z scan dir;Hue (°);Saturation (%);Value (%)
X coordinate;1.0;-0.5269869218502603;-0.3701966216920677;0.10196822186418819;0.13388884636462126;0.08431624320412882;-0.05109528770856309;-0.021742807224629745;0.018631329754769246;0.0007704585123018033;-0.15995071041391307;0.0853221833476508
Y coordinate;-0.5269869218502603;1.0;-0.29153685546158514;0.04538810858000504;0.019833427853291154;0.05785311916591299;-0.032754959013712795;-0.09319466155983477;-0.08028315838932303;0.025395652832584624;0.08363033696388879;0.06409642640833865
Z coordinate;-0.3701966216920677;-0.29153685546158514;1.0;-0.1953485097302387;-0.1908425933161607;-0.12560060528287506;0.07215037895092098;0.14202391414432874;0.018134215042631612;0.04285251229036949;0.16719771947044487;-0.15281972478413727
Red color (0-255);0.10196822186418819;0.04538810858000504;-0.1953485097302387;1.0;0.9766377041888511;0.9046880910727955;-0.016527374421963222;-0.059585519249742064;0.10297037641820346;0.32188133795876717;-0.40001232402268194;0.9554379054269982
Green color (0-255);0.13388884636462126;0.019833427853291154;-0.1908425933161607;0.9766377041888511;1.0;0.9513672572129137;0.025428520898504798;-0.0216698047966042;0.12311481932506763;0.3919912651519509;-0.4280582700856672;0.9716048134809991
Blue color (0-255);0.08431624320412882;0.05785311916591299;-0.12560060528287506;0.9046880910727955;0.9513672572129137;1.0;0.09709556223094261;0.03906723808094006;0.1718918035132834;0.535148093044828;-0.29263689371870255;0.9775194821355343
X scan dir;-0.05109528770856309;-0.032754959013712795;0.07215037895092098;-0.016527374421963222;0.025428520898504798;0.09709556223094261;1.0;0.23009737006928638;0.46480532973929756;0.17616060251532092;-0.0025651309213929603;0.04297270999768624
Y scan dir;-0.021742807224629745;-0.09319466155983477;0.14202391414432874;-0.059585519249742064;-0.0216698047966042;0.03906723808094006;0.23009737006928638;1.0;0.16102138857375212;0.15708375314540432;0.00538643812671203;-0.010174104678161596
Z scan dir;0.018631329754769246;-0.08028315838932303;0.018134215042631612;0.10297037641820346;0.12311481932506763;0.1718918035132834;0.46480532973929756;0.16102138857375212;1.0;0.2039434031243574;-0.12922264766468672;0.12596328740535437
Hue (°);0.0007704585123018033;0.025395652832584624;0.04285251229036949;0.32188133795876717;0.3919912651519509;0.535148093044828;0.17616060251532092;0.15708375314540432;0.2039434031243574;1.0;-0.31418195179699293;0.39917364589216264
Saturation (%);-0.15995071041391307;0.08363033696388879;0.16719771947044487;-0.40001232402268194;-0.4280582700856672;-0.29263689371870255;-0.0025651309213929603;0.00538643812671203;-0.12922264766468672;-0.31418195179699293;1.0;-0.23657746159899212
Value (%);0.0853221833476508;0.06409642640833865;-0.15281972478413727;0.9554379054269982;0.9716048134809991;0.9775194821355343;0.04297270999768624;-0.010174104678161596;0.12596328740535437;0.39917364589216264;-0.23657746159899212;1.0
