Tree_ID,E,N,Height_m,Crown_Diameter_m
1,2612750.953636364,1266071.4496969697,291.7,7.25
2,2612753.9172727275,1266073.6345454545,291.7,4.18
3,2612151.588360656,1266080.7439344262,289.57,6.23
4,2612772.820708662,1266005.83,289.47,8.99
5,2612262.1002564104,1266151.338974359,288.54,7.88
6,2612189.678034188,1266116.9176068376,287.65,6.1
7,2612176.3388372096,1266111.9443410854,287.61,6.41
8,2612227.4442682927,1266079.009878049,286.92,7.23
9,2612167.796122449,1266094.33,286.78,5.59
10,2612218.52125,1266084.9003125,286.76,7.82
11,2612261.8686407767,1266145.1091262137,286.72,5.73
12,2612123.56,1266078.03,286.63,5.64
13,2612791.2266412214,1266025.5761832062,286.55,6.46
14,2612305.271818182,1266103.4254545455,286.52,5.92
15,2612696.3847368425,1266012.7358704454,286.43,8.87
16,2612244.8314634147,1266090.9763414634,286.42,7.23
17,2612227.95875,1266160.8328409093,286.22,7.48
18,2612203.597692308,1266114.433846154,286.13,6.43
19,2612751.5908064516,1266017.7372580646,286.05,6.28
20,2612194.953235294,1266090.4807352943,286.01,6.58
21,2612183.119310345,1266104.7868965517,285.98,6.08
22,2612162.524883721,1266093.8823255815,285.92,3.7
23,2612247.170952381,1266073.7561904762,285.9,5.78
24,2612237.1664705887,1266171.441764706,285.7,7.36
25,2612237.997751938,1266109.4869767444,285.69,6.41
26,2612178.283478261,1266101.6886956522,285.46,5.41
27,2612194.9110526317,1266106.9922807019,285.39,6.02
28,2612115.297086614,1266162.9343307088,285.38,6.36
29,2612669.9311764706,1266017.874117647,285.37,2.33
30,2612687.175279188,1266024.110456853,285.31,7.92
31,2612758.0455555557,1266008.968888889,285.3,2.93
32,2612202.2999173556,1266141.8568595042,285.15,6.21
33,2612206.5325531918,1266193.5480851065,285.15,5.47
34,2612227.386774194,1266177.2638709678,285.1,7.02
35,2612755.74,1266004.343888889,285.09,6.77
36,2612208.9290243904,1266157.836097561,285.07,5.11
37,2612215.2955555557,1266205.0452777778,285.07,4.79
38,2612107.9806542057,1266128.9398130842,285.05,5.84
39,2612217.8077966105,1266078.0333898305,285.03,6.13
40,2613264.2042857143,1266088.9014285714,285.0,2.11
41,2613175.402820513,1266890.1517948718,284.96,7.88
42,2612316.941923077,1266096.656923077,284.93,4.07
