Tree_ID,E,N,Height_m,Crown_Diameter_m
1,2612152.0612790696,1266080.3360465115,289.57,7.4
2,2612262.2740816325,1266151.5020408162,288.54,7.9
3,2612189.708888889,1266116.8658119657,287.65,6.1
4,2612176.2035616436,1266111.9205479452,287.61,6.82
5,2612227.0609326423,1266079.0735751295,286.92,7.84
6,2612218.5920207254,1266084.9647668393,286.81,7.84
7,2612167.577352941,1266093.756617647,286.78,6.58
8,2612261.892815534,1266145.2106796117,286.72,5.73
9,2612123.534285714,1266077.7794642856,286.63,5.97
10,2612305.4561111107,1266104.2555555555,286.55,7.57
11,2612244.7715151515,1266091.0060606059,286.42,7.25
12,2612203.523225806,1266114.393548387,286.41,7.02
13,2612227.907628866,1266161.0030927835,286.22,7.86
14,2612182.864217687,1266104.2707482993,286.01,6.84
15,2612194.678433735,1266090.041566265,286.01,7.27
16,2612162.633829787,1266092.7457446808,285.92,5.47
17,2612247.2526923073,1266073.7653846154,285.9,5.75
18,2612237.109772727,1266171.5221590907,285.7,7.48
19,2612238.1035820893,1266109.385074627,285.69,6.53
20,2612314.8257803465,1266096.634104046,285.54,7.42
21,2612669.8368711653,1266017.4889570551,285.53,10.19
22,2612178.339607843,1266101.6647058823,285.46,5.7
23,2612194.8458620687,1266107.025,285.39,6.08
24,2612115.2738461536,1266162.9,285.38,6.43
25,2612202.3239370077,1266141.9826771652,285.15,6.36
26,2612206.412,1266193.284,285.15,6.31
27,2612227.456942675,1266177.2726114648,285.1,7.07
28,2612207.977142857,1266157.6761904762,285.07,5.78
29,2612214.86787234,1266205.474468085,285.07,5.47
30,2612108.039298245,1266128.895614035,285.05,6.02
31,2612217.9331386858,1266078.1262773722,285.03,6.6
32,2613264.3654545452,1266088.8545454545,285.0,1.87
33,2613175.4806217616,1266890.4025906734,284.96,7.84
34,2612110.1418884117,1266251.5866952788,284.91,8.61
35,2612254.32,1266137.6819548872,284.87,6.51
36,2612247.9954385962,1266131.116374269,284.8,7.38
37,2612111.6603361345,1266258.7613445378,284.76,6.15
38,2612281.040183486,1266235.3495412844,284.76,5.89
39,2613258.5357190636,1266818.2076923077,284.75,9.76
40,2612185.1858536582,1266301.156097561,284.74,6.26
41,2612244.1849635034,1266160.3489051093,284.66,6.6
42,2612189.7884684685,1266130.7873873874,284.6,5.94
43,2612240.5994117646,1266199.855882353,284.59,4.65
44,2612258.516,1266083.872,284.56,6.31
45,2612123.823311258,1266201.0125827813,284.49,6.93
46,2612115.8507017544,1266197.5271929824,284.48,6.02
47,2612141.314444444,1266213.936111111,284.48,7.57
48,2612179.946315789,1266309.7394736842,284.48,7.78
49,2612190.1084615383,1266176.273076923,284.46,6.43
50,2613245.610145985,1266728.5441605838,284.38,9.34
51,2612105.3142528734,1266240.767816092,284.37,7.44
52,2612157.6119999997,1266316.76,284.37,6.31
53,2612130.1226315787,1266346.6236842105,284.36,7.78
54,2612252.07,1266236.613114754,284.34,6.23
55,2612184.9058585856,1266098.7282828281,284.32,5.61
56,2612272.0048739496,1266248.5932773107,284.32,6.15
57,2612103.7366666663,1266238.6916666667,284.28,2.76
58,2612111.6876470586,1266184.3595588235,284.27,6.58
59,2612275.829259259,1266221.3833333333,284.27,9.27
60,2612173.496923077,1266252.9384615384,284.24,4.55
61,2612669.259189189,1266007.258108108,284.2,8.41
62,2612512.898125,1266010.6239583332,284.19,7.82
63,2612304.3,1266186.4919999999,284.13,6.31
64,2612134.0938095236,1266335.0865079365,284.07,6.33
65,2612143.596190476,1266205.7523809522,284.03,5.78
66,2612262.034285714,1266089.704511278,284.02,6.51
67,2612521.5006930693,1266011.9594059405,283.95,8.02
68,2612300.18971831,1266180.1887323943,283.88,6.72
69,2612142.705496183,1266439.0183206105,283.83,6.46
70,2612146.1718518515,1266439.3907407406,283.83,4.15
71,2612309.461025641,1266146.2717948717,283.83,4.98
72,2612274.2174358973,1266135.3273504272,283.82,6.1
73,2612201.229638554,1266230.8879518071,283.81,5.14
74,2612129.7249999996,1266287.48,283.78,5.64
75,2612228.0156521737,1266209.8402173913,283.77,5.41
76,2612537.299289941,1266013.4177514792,283.7,7.33
77,2612117.6216528923,1266341.523966942,283.66,6.21
78,2612530.59,1266020.38,283.66,6.91
79,2612225.840491803,1266168.0967213113,283.62,6.23
80,2612220.769152542,1266199.086440678,283.6,4.33
81,2612292.059361702,1266159.7776595743,283.6,5.47
82,2612161.771388889,1266261.8027777777,283.59,4.79
83,2612163.532643678,1266244.9574712643,283.59,5.26
84,2612112.1057142857,1266126.0428571429,283.58,1.49
