Tree_ID,E,N,Height_m,Crown_Diameter_m
1,2612753.798765432,1266074.8361728396,291.7,7.18
2,2612751.9445355195,1266069.9625136612,291.7,7.63
3,2612151.96497006,1266080.2985628743,289.57,7.29
4,2612262.213959391,1266151.3388832489,288.54,7.92
5,2612189.661206897,1266116.9291379312,287.65,6.08
6,2612176.2071428574,1266111.9371428571,287.61,6.68
7,2612227.0342105264,1266079.03,286.92,7.78
8,2612218.5214285715,1266084.8963265307,286.81,7.9
9,2612167.5522727272,1266093.814848485,286.78,6.48
10,2612261.7995145633,1266145.147961165,286.72,5.73
11,2612123.5363636366,1266077.8254545454,286.63,5.92
12,2612305.358496732,1266103.874117647,286.55,6.98
13,2612791.6474921633,1266023.0596238244,286.55,10.08
14,2612695.6872093026,1266012.184651163,286.43,8.27
15,2612244.7512048194,1266091.016746988,286.42,7.27
16,2612203.563636364,1266114.4696103898,286.41,7.0
17,2612227.860526316,1266160.9694736842,286.22,7.78
18,2612182.9066666667,1266104.29,286.01,6.91
19,2612194.7529411768,1266090.1211764708,286.01,7.36
20,2612162.3515151516,1266093.420909091,285.92,4.58
21,2612247.135714286,1266073.78,285.9,5.78
22,2612237.180769231,1266171.4912426036,285.7,7.33
23,2612238.0125,1266109.4182352943,285.69,6.58
24,2612669.1929718875,1266018.798875502,285.53,8.9
25,2612314.7823170736,1266096.5647560977,285.52,7.23
26,2612178.6056603775,1266101.5092452832,285.46,5.81
27,2612688.0196428574,1266024.5175,285.45,9.44
28,2612194.85,1266107.0191304348,285.39,6.05
29,2612115.2833333337,1266162.9331746032,285.38,6.33
30,2612202.27,1266141.9440000001,285.15,6.31
31,2612206.3281512605,1266193.1934453782,285.15,6.15
32,2612227.494303798,1266177.3236708862,285.1,7.09
33,2612208.2098039216,1266157.6682352943,285.07,5.7
34,2612214.777777778,1266205.3911111113,285.07,5.35
35,2612107.8839622643,1266129.0658490567,285.05,5.81
36,2612217.905223881,1266078.0986567165,285.03,6.53
37,2613264.1642857143,1266088.9014285714,285.0,2.11
38,2613175.4059585496,1266890.3027979275,284.96,7.84
39,2612110.1035087723,1266251.5778070176,284.91,8.52
40,2612254.255755396,1266137.5620143886,284.87,6.65
41,2612740.410526316,1266005.3931578947,284.86,7.78
42,2612248.034795322,1266131.012748538,284.8,7.38
43,2612638.084146342,1266005.6633333333,284.77,8.85
44,2612111.654918033,1266258.6578688526,284.76,6.23
45,2612281.0784403672,1266235.2772477064,284.76,5.89
46,2613258.515,1266818.1133333335,284.75,9.77
47,2612185.2630081302,1266301.2263414634,284.74,6.26
48,2612244.2351851854,1266160.331851852,284.66,6.56
49,2612759.6642857143,1266025.5924223603,284.66,7.16
50,2612189.7665137616,1266130.7543119267,284.6,5.89
51,2612240.7343137255,1266200.3152941177,284.59,4.03
52,2612708.6645270274,1266038.3164864865,284.59,9.71
53,2612258.6096638655,1266083.8278991596,284.56,6.15
54,2612725.45,1266029.0764285715,284.54,6.68
55,2612725.4483498354,1266043.6229042904,284.5,9.82
56,2612124.0219178083,1266201.0765753426,284.49,6.82
57,2612115.850862069,1266197.4981034484,284.48,6.08
58,2612141.327094972,1266213.8369832402,284.48,7.55
59,2612179.7584415586,1266309.067012987,284.48,7.0
60,2613245.604411765,1266728.5266911765,284.38,9.3
61,2612106.6344262296,1266239.7521311475,284.37,6.23
62,2612157.634,1266316.72,284.37,6.31
63,2612130.1568062827,1266346.742303665,284.36,7.8
64,2612190.046153846,1266176.2838461539,284.35,6.43
65,2612628.156818182,1266007.2163636365,284.35,8.37
66,2612252.0875000004,1266236.5925,284.34,6.18
67,2612185.127419355,1266098.5907526882,284.32,5.44
68,2612272.042436975,1266248.5757983194,284.32,6.15
69,2612102.91,1266241.6266666667,284.28,4.89
70,2612111.5923357666,1266184.3573722627,284.27,6.6
71,2612275.8622137406,1266221.4521374046,284.27,9.13
72,2612173.481746032,1266252.7704761906,284.24,4.48
73,2612694.0134920636,1266083.6741043085,284.24,11.85
74,2612783.8944444447,1266006.58,284.21,3.78
75,2612669.3244939274,1266006.5415384616,284.2,8.87
76,2612654.7767857146,1266041.0425,284.19,9.44
77,2612724.904831933,1266015.874117647,284.14,12.31
78,2612766.7637254903,1266025.354509804,284.14,5.7
79,2612304.234,1266186.448,284.13,6.31
80,2612134.0730769234,1266335.083846154,284.07,6.43
81,2612143.667821782,1266205.6542574258,284.03,5.67
82,2612262.0892857146,1266089.672857143,284.02,6.68
83,2612513.0293650795,1266010.6038095239,283.97,7.76
84,2612768.765789474,1266029.58877193,283.97,4.26
85,2612520.8216981133,1266010.5139622642,283.95,9.18
86,2612646.7676100633,1266008.0249685536,283.93,10.06
87,2612300.1353146853,1266180.0834965035,283.88,6.75
88,2612142.6296875,1266438.85734375,283.83,6.38
89,2612146.1166666667,1266439.6966666668,283.83,4.37
90,2612274.2268595044,1266135.2866115703,283.82,6.21
91,2612201.219230769,1266230.8272527473,283.81,5.38
92,2612129.765,1266287.3900000001,283.78,5.64
93,2612716.106666667,1266006.97,283.78,6.91
94,2612227.966304348,1266209.8517391304,283.77,5.41
95,2612309.439361702,1266146.9842553192,283.73,3.87
96,2612673.7861581924,1266048.4952542374,283.73,10.62
97,2612537.1872881358,1266013.441581921,283.7,7.51
98,2612117.622131148,1266341.4406557379,283.66,6.23
99,2612530.2821428576,1266020.6657142858,283.66,6.68
100,2612431.8139053257,1266112.3728994085,283.65,7.33
101,2612225.873387097,1266168.1082258066,283.62,6.28
102,2612646.4189655175,1266016.204137931,283.62,6.79
103,2612220.740322581,1266198.9993548389,283.6,4.44
104,2612292.075,1266159.9386956522,283.6,5.41
105,2612161.7789473687,1266261.8365789475,283.59,4.92
106,2612163.604761905,1266244.859761905,283.59,5.17
107,2612111.597058824,1266126.4035294119,283.58,2.33
108,2612438.505865922,1266114.9598882683,283.58,7.55
109,2612177.79,1266233.9866666668,283.54,4.89
110,2612633.3836734695,1266010.554489796,283.51,5.59
111,2612393.7314371257,1266158.7805988025,283.5,7.29
112,2612715.9179144385,1266028.3714438505,283.5,7.72
113,2612721.349390244,1266035.1318292683,283.5,7.23
114,2612278.77,1266169.3733333333,283.49,4.89
115,2612732.6205202313,1266010.6840462429,283.46,7.42
116,2612905.8614583337,1266217.751875,283.45,7.82
117,2612664.546153846,1266002.628076923,283.44,5.75
118,2612720.607894737,1266038.5010526318,283.42,2.46
119,2612318.422067039,1266624.828603352,283.41,7.55
120,2612657.37746114,1266026.3027979275,283.33,7.84
121,2612691.280935252,1266050.1915107914,283.33,6.65
122,2612267.2314136126,1266369.8286910995,283.32,11.03
123,2612405.5333333337,1266115.3114814817,283.32,5.86
124,2612687.2458715597,1266087.224495413,283.31,8.33
125,2612391.373469388,1266127.136122449,283.29,5.59
126,2612686.141780822,1266017.7238356166,283.29,4.82
127,2612338.9323232323,1266176.9234343434,283.27,7.94
128,2612781.635483871,1266025.7493548389,283.27,4.44
129,2612417.5742603554,1266104.7368047338,283.26,7.33
130,2612785.5642857146,1266025.0657142857,283.24,3.34
131,2612109.8860902255,1266275.6589473684,283.22,6.51
132,2612768.3153846157,1266062.112051282,283.22,4.98
133,2612795.284821429,1266015.6469642858,283.22,5.97
134,2612260.278358209,1266184.5202985075,283.2,4.62
135,2612156.8908284027,1266202.8699408285,283.19,7.33
136,2612323.0125,1266306.3348076923,283.17,5.75
137,2612310.384615385,1266287.4646153846,283.16,6.43
138,2612772.905882353,1266014.2711764707,283.13,4.65
139,2612366.9256944447,1266078.2640277778,283.07,6.77
140,2612517.303107345,1266023.51220339,283.07,7.51
141,2612398.1516806725,1266134.298487395,283.06,6.15
142,2612617.370138889,1266003.937638889,283.06,6.77
143,2612119.8145161294,1266268.6122580646,283.05,7.02
144,2612269.8041666667,1266177.2154166668,283.05,3.91
145,2612708.6689542485,1266081.671503268,283.04,6.98
146,2612386.1824414716,1266296.5231438128,283.03,9.76
147,2612313.7089285715,1266143.0889285714,283.02,4.22
148,2612298.9589285715,1266154.0532142858,283.01,4.22
149,2612362.8715686277,1266104.423137255,283.01,4.03
150,2612901.9145390075,1266080.3317730497,282.99,6.7
151,2612731.1745762713,1266075.482542373,282.98,6.13
152,2612767.809756098,1266054.360487805,282.98,5.11
153,2612192.0732876714,1266222.1347945207,282.96,4.82
154,2612228.8106557378,1266193.89147541,282.96,4.41
155,2612404.3181318683,1266128.6019780221,282.94,5.38
156,2612753.470642202,1266054.3735779817,282.94,8.33
157,2612308.4441860467,1266091.626511628,282.91,5.23
158,2612624.954761905,1266023.941904762,282.91,5.78
159,2612722.685294118,1266065.8189705883,282.9,6.58
160,2612732.055769231,1266040.2017948718,282.9,7.05
161,2612318.7601265823,1266164.7065822785,282.87,5.01
162,2612700.6312749004,1266095.9843824701,282.87,8.94
163,2612103.066666667,1266167.4466666668,282.86,5.35
164,2612706.439224138,1266087.631724138,282.83,8.59
165,2612806.6524456525,1266043.2389673914,282.83,10.82
166,2612257.70257732,1266250.9408247424,282.82,5.56
167,2612741.75,1266030.5914285716,282.82,7.46
168,2612250.3944444447,1266193.0085714287,282.81,4.48
169,2612699.307740586,1266029.257824268,282.81,8.72
170,2612649.7376712332,1266028.124520548,282.8,6.82
171,2612674.7543478264,1266002.2973913045,282.8,2.71
172,2612334.2592105265,1266170.7313157895,282.79,4.92
173,2612531.25,1266004.3050000002,282.79,4.37
174,2612195.5500000003,1266377.0883333334,282.78,6.18
175,2612341.170338983,1266077.9698305086,282.78,4.33
176,2612342.985714286,1266079.4371428571,282.77,2.11
177,2612486.324251497,1266130.6518562876,282.76,7.29
178,2612725.078099174,1266004.9105785126,282.75,6.21
179,2612844.0451557096,1266087.7114878893,282.75,9.59
180,2612679.5500000003,1266030.61,282.73,5.64
181,2612768.0333333337,1266034.9216666666,282.73,4.37
182,2612335.1246031746,1266126.5165079366,282.7,4.48
183,2612424.3041666667,1266099.7341666666,282.69,6.18
184,2612481.3126760568,1266135.696197183,282.69,6.72
185,2612419.241970803,1266116.0398540148,282.67,6.6
186,2612650.8473509937,1266034.457483444,282.67,6.93
187,2612765.7416666667,1266035.9758333333,282.67,2.76
188,2612305.5833333335,1266175.5383333333,282.66,4.37
189,2612108.118539326,1266354.9564044944,282.63,7.53
190,2612156.1783950618,1266227.4997530866,282.63,7.18
191,2612392.766239316,1266138.8834188036,282.63,6.1
192,2612438.798484849,1266108.367878788,282.63,6.48
193,2612390.325576037,1266303.0961290323,282.62,8.31
194,2612326.378571429,1266087.0621428571,282.61,4.22
195,2612832.1525000003,1266073.03,282.61,7.98
196,2612761.3993392074,1266039.2297797357,282.59,8.5
197,2612177.7056818185,1266296.2561363636,282.58,5.29
198,2612683.2562015504,1266006.8551937984,282.58,6.41
199,2612114.797222222,1266298.3508333333,282.55,4.79
200,2612696.8139705886,1266049.3557352943,282.55,9.3
201,2612733.907711443,1266064.2018905473,282.55,8.0
202,2612759.4819148937,1266032.675744681,282.55,3.87
203,2612992.0226256987,1266191.3006703912,282.55,7.55
204,2612410.7108695656,1266123.3517391304,282.54,5.41
205,2612690.2013227516,1266057.4662433863,282.53,7.76
206,2612391.0500000003,1266083.0550000002,282.52,3.57
207,2612748.6829545456,1266037.386818182,282.51,5.29
208,2612264.5158914733,1266232.2079069768,282.49,6.41
209,2612411.7096899226,1266110.3706976746,282.49,6.41
210,2612424.103543307,1266111.7925984252,282.47,6.36
211,2612902.2638297873,1266238.3619148936,282.47,5.47
212,2612142.7983870967,1266547.3332258065,282.46,9.93
213,2612754.5043478264,1266059.83,282.46,3.83
214,2612710.9476635517,1266018.6080373833,282.43,8.25
215,2612311.9115384617,1266169.6876923079,282.4,4.55
216,2612752.0419540233,1266039.2524137932,282.39,5.26
217,2612319.847727273,1266138.7390909093,282.37,3.74
218,2612386.3843434346,1266131.4082828283,282.36,5.61
219,2612689.421264368,1266003.2351724138,282.35,5.26
220,2612735.0495475116,1266023.5664253396,282.35,8.39
221,2612117.2617283952,1266425.0614814817,282.34,7.18
222,2612386.1586092715,1266186.255496689,282.34,6.93
223,2612728.667948718,1266069.7242307693,282.34,7.05
224,2612431.404545455,1266103.0307575758,282.32,6.48
225,2612959.3903409094,1266298.3186363636,282.31,7.48
226,2612300.2969387756,1266598.291734694,282.29,7.9
227,2612398.7789473687,1266120.7707894738,282.28,4.92
228,2612150.95,1266271.2845454547,282.27,3.74
229,2613135.742682927,1266164.7720731709,282.27,7.23
230,2612626.913768116,1266028.2031884058,282.25,4.69
231,2612666.629104478,1266041.6944278607,282.24,8.0
232,2612726.5238255034,1266059.0867114095,282.23,6.89
233,2612706.47238806,1266093.251641791,282.22,6.53
234,2612378.891747573,1266139.143106796,282.21,5.73
235,2612771.746875,1266062.376875,282.21,3.19
236,2612788.7523255814,1266047.0567441862,282.16,3.7
237,2612745.6102564107,1266081.438974359,282.15,4.98
238,2612183.5812500003,1266373.5706250002,282.12,7.14
239,2612349.484883721,1266116.8939534884,282.12,3.7
240,2612380.3991525425,1266191.2113559323,282.12,6.13
241,2612235.1523809526,1266204.8538095239,282.11,3.66
242,2612686.088075314,1266064.0423430963,282.1,8.72
243,2613327.7897790056,1266199.2402209945,282.1,10.73
244,2612503.8155172416,1266149.1731034482,282.09,6.79
245,2612661.2752427184,1266033.225631068,282.09,8.1
246,2612791.191573034,1266043.5406741574,282.08,5.32
247,2612751.29,1266093.4400000002,282.07,2.82
248,2613356.534795322,1266098.6735672515,282.07,7.38
249,2612221.7,1266215.455,282.06,3.91
250,2612746.2833333337,1266095.8406060606,282.06,7.25
251,2612776.3796875,1266015.2753125,282.06,4.51
252,2612751.8583333334,1266098.1341666668,282.05,6.18
253,2612973.1270833337,1266284.7779166668,282.03,8.74
254,2612128.0785714285,1266271.322857143,282.01,3.34
255,2612184.957575758,1266243.314848485,282.01,4.58
256,2612639.498076923,1266019.656923077,282.01,4.07
257,2612939.3743243245,1266296.6475675676,282.01,7.67
258,2612121.2,1266414.189375,281.99,4.51
259,2612309.403038674,1266411.0993370167,281.99,7.59
260,2612328.323239437,1266131.361690141,281.99,4.75
261,2612792.4577220078,1266083.8213127414,281.99,9.08
262,2612222.0851351353,1266242.7556756758,281.98,4.85
263,2612282.3982758624,1266367.2110344828,281.98,6.79
264,2612442.1938271606,1266585.9441975309,281.98,7.18
265,2612140.3898907104,1266482.5718032788,281.97,7.63
266,2612223.725362319,1266271.1379710145,281.96,4.69
267,2612406.155357143,1266072.6514285714,281.96,4.22
268,2612107.5500000003,1266302.0925,281.95,3.57
269,2612114.7104166667,1266282.5279166668,281.95,3.91
270,2612749.7397727272,1266063.730568182,281.95,7.48
271,2612378.5846153847,1266092.9261538463,281.94,2.88
272,2612403.827118644,1266171.300338983,281.94,6.13
273,2612122.885483871,1266293.7251612905,281.93,4.44
274,2612169.1353932586,1266318.5350561799,281.93,5.32
275,2612873.4650000003,1266218.675,281.93,7.98
276,2613324.6625984255,1266298.6685826771,281.93,8.99
277,2612143.0564814815,1266413.6355555556,281.92,5.86
278,2613111.9395833337,1266149.5216666667,281.92,8.74
279,2612135.1325396826,1266283.1196825397,281.91,4.48
280,2613389.5539603964,1266280.352277228,281.91,8.02
281,2612183.144594595,1266406.925945946,281.9,7.67
282,2612713.312973761,1266053.6674635569,281.88,10.45
283,2612720.4647058826,1266022.879019608,281.88,5.7
284,2612678.615322581,1266088.4993548389,281.87,8.88
285,2612509.3488764046,1266157.2766292135,281.86,7.53
286,2612746.227777778,1266076.8628282829,281.86,5.61
287,2612684.196666667,1266051.72,281.85,6.91
288,2612802.984562212,1266085.7781566822,281.82,8.31
289,2612193.4200000004,1266237.56,281.79,3.99
290,2612133.4475247525,1266513.730990099,281.78,8.02
291,2612856.2335820897,1266067.3635820895,281.78,4.62
292,2612193.100485437,1266367.0557281554,281.77,8.1
293,2612400.4016129035,1266075.950967742,281.77,3.14
294,2612382.5846153847,1266089.4646153846,281.76,2.88
295,2612659.813636364,1266084.8577777778,281.76,7.94
296,2612675.340804598,1266023.6116091956,281.76,7.44
297,2612103.235714286,1266265.5942857144,281.83,4.72
298,2612663.362946429,1266053.064375,281.75,8.44
299,2612620.079032258,1266011.6740860215,281.74,7.69
300,2612624.1375,1266015.455,281.74,3.57
301,2612393.8728187922,1266180.9625503356,281.73,6.89
302,2612679.251724138,1266039.5426436781,281.73,7.44
303,2612765.1166666667,1266057.0323809525,281.73,2.59
