Tree_ID,X,Y,Z,Crown_Diameter_m
0.0,2612746.2834653463,1266077.5255445545,291.7,8.02
1.0,2612752.55760181,1266071.141085973,291.7,8.39
2.0,2612152.008698225,1266080.2427218936,289.57,7.33
3.0,2612774.5435021096,1266006.600042194,289.51,12.28
4.0,2612262.242244898,1266151.381020408,288.54,7.9
5.0,2612189.63877193,1266116.8168421052,287.65,6.02
6.0,2612176.2163309352,1266111.9864748202,287.61,6.65
7.0,2612227.279171271,1266079.0081767957,286.92,7.59
8.0,2612218.58026178,1266084.9307853405,286.81,7.8
9.0,2612167.600833333,1266094.0591666668,286.78,6.18
10.0,2612261.851698113,1266145.1649056606,286.72,5.81
11.0,2612123.611981982,1266077.8367567568,286.63,5.94
12.0,2612305.2638028166,1266103.7454929578,286.55,6.72
13.0,2612792.03625,1266024.13,286.55,8.74
14.0,2612697.248556701,1266013.2397938145,286.43,9.62
15.0,2612244.791764706,1266090.953529412,286.42,7.36
16.0,2612203.6616901406,1266114.389859155,286.23,6.72
17.0,2612227.953979592,1266161.0340816327,286.22,7.9
18.0,2612751.6164864865,1266017.5293243243,286.1,6.86
19.0,2612182.9971875,1266104.58,286.01,6.38
20.0,2612194.7728571426,1266090.173167702,286.01,7.16
21.0,2612162.4633333334,1266093.5985185185,285.92,4.15
22.0,2612247.2561682244,1266073.7762616824,285.9,5.84
23.0,2612237.0832163743,1266171.413333333,285.7,7.38
24.0,2612238.053913044,1266109.4205797105,285.69,6.63
25.0,2612756.096887417,1266008.7985430465,285.68,6.93
26.0,2612669.263333333,1266018.9644444445,285.53,8.46
27.0,2612178.539090909,1266101.5951515152,285.46,5.61
28.0,2612687.5843568463,1266024.2978423238,285.45,8.76
29.0,2612194.782173913,1266106.966956522,285.39,6.05
30.0,2612115.275669291,1266162.9146456693,285.38,6.36
31.0,2612760.4913861384,1266015.1963366338,285.37,8.02
32.0,2612314.7566233766,1266096.537792208,285.25,7.0
33.0,2612756.4712698413,1266004.326031746,285.17,4.48
34.0,2612202.3662204724,1266141.8831496064,285.15,6.36
35.0,2612206.2624786324,1266193.1782905983,285.15,6.1
36.0,2612227.405,1266177.24875,285.1,7.14
37.0,2612208.461632653,1266157.717755102,285.07,5.59
38.0,2612215.0336144576,1266205.1522891568,285.07,5.14
39.0,2612107.961683168,1266128.980990099,285.05,5.67
40.0,2612217.806923077,1266078.156923077,285.03,6.43
41.0,2613264.344285714,1266088.9014285714,285.0,2.11
42.0,2612791.8969491525,1266053.455,284.97,8.67
43.0,2613175.4896938773,1266890.1335714287,284.96,7.9
44.0,2612110.155751073,1266251.5757081546,284.91,8.61
45.0,2612254.320647482,1266137.58,284.87,6.65
