Tree_ID,X,Y,Z,Tree_Height_m,Crown_Height_m,Crown_Diameter_m,Trunk_Height_m,Trunk_Diameter_m,Crown_R,Crown_G,Crown_B,Trunk_R,Trunk_G,Trunk_B
0.0,2612746.2834653463,1266077.5255445545,275.7699996948242,15.93,10.620001,8.02,5.3100004,1.3366666666666664,42.0,49.0,46.0,139.0,69.0,19.0
1.0,2612752.55760181,1266071.141085973,276.5500003814697,15.15,10.1,8.39,5.05,1.3983333333333334,42.0,49.0,46.0,139.0,69.0,19.0
2.0,2612152.008698225,1266080.2427218936,277.109999961853,12.46,8.306667,7.33,4.1533337,1.2216666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3.0,2612774.5435021096,1266006.600042194,271.78000045776366,17.73,11.82,12.28,5.91,2.0466666666666664,42.0,49.0,46.0,139.0,69.0,19.0
4.0,2612262.242244898,1266151.381020408,274.9799995803833,13.56,9.040001,7.9,4.5200005,1.3166666666666667,42.0,49.0,46.0,139.0,69.0,19.0
5.0,2612189.63877193,1266116.8168421052,276.3099998474121,11.34,7.5600004,6.02,3.7800002,1.0033333333333332,42.0,49.0,46.0,139.0,69.0,19.0
6.0,2612176.2163309352,1266111.9864748202,276.50000034332277,11.11,7.4066668,6.65,3.7033334,1.1083333333333334,42.0,49.0,46.0,139.0,69.0,19.0
7.0,2612227.279171271,1266079.0081767957,276.3500003051758,10.57,7.0466666,7.59,3.5233333,1.265,42.0,49.0,46.0,139.0,69.0,19.0
8.0,2612218.58026178,1266084.9307853405,276.2800002670288,10.53,7.02,7.8,3.51,1.2999999999999998,42.0,49.0,46.0,139.0,69.0,19.0
9.0,2612167.600833333,1266094.0591666668,277.0400002288818,9.74,6.4933333,6.18,3.2466667,1.0299999999999998,42.0,49.0,46.0,139.0,69.0,19.0
10.0,2612261.851698113,1266145.1649056606,275.00999996185305,11.71,7.806667,5.81,3.9033334,0.9683333333333333,42.0,49.0,46.0,139.0,69.0,19.0
11.0,2612123.611981982,1266077.8367567568,277.4099997329712,9.22,6.146667,5.94,3.0733335,0.99,42.0,49.0,46.0,139.0,69.0,19.0
12.0,2612305.2638028166,1266103.7454929578,275.15000038146974,11.4,7.6,6.72,3.8,1.1199999999999999,42.0,49.0,46.0,139.0,69.0,19.0
13.0,2612792.03625,1266024.13,271.8900001525879,14.66,9.773334,8.74,4.886667,1.4566666666666666,42.0,49.0,46.0,139.0,69.0,19.0
14.0,2612697.248556701,1266013.2397938145,272.3699995803833,14.06,9.373334,9.62,4.686667,1.603333333333333,42.0,49.0,46.0,139.0,69.0,19.0
15.0,2612244.791764706,1266090.953529412,275.8599995803833,10.56,7.0400004,7.36,3.5200002,1.2266666666666666,42.0,49.0,46.0,139.0,69.0,19.0
16.0,2612203.6616901406,1266114.389859155,275.9500002670288,10.28,6.8533335,6.72,3.4266667,1.1199999999999999,42.0,49.0,46.0,139.0,69.0,19.0
17.0,2612227.953979592,1266161.0340816327,275.1199996185303,11.1,7.4000006,7.9,3.7000003,1.3166666666666667,42.0,49.0,46.0,139.0,69.0,19.0
