Tree_ID,X,Y,Z,Tree_Height_m,Crown_Height_m,Crown_Diameter_m,Trunk_Height_m,Trunk_Diameter_m,Crown_R,Crown_G,Crown_B,Trunk_R,Trunk_G,Trunk_B
1,2612214.878461539,1266035.9353846156,277.0099995803833,12.56,8.373334,6.43,4.186667,1.0716666666666665,42.0,49.0,46.0,139.0,69.0,19.0
2,2612200.4531868133,1266466.006813187,270.2699996948242,21.43,14.286667,7.61,7.1433334,1.2683333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3,2612206.292597403,1266465.4531168833,270.2599996948242,21.43,14.286667,4.95,7.1433334,0.825,42.0,49.0,46.0,139.0,69.0,19.0
4,2612114.855909091,1266480.2290909092,270.5299994659424,18.94,12.626667,6.48,6.3133335,1.08,42.0,49.0,46.0,139.0,69.0,19.0
5,2612312.9095121957,1266115.0919512196,274.73999980926516,13.8,9.200001,8.08,4.6000004,1.3466666666666667,42.0,49.0,46.0,139.0,69.0,19.0
6,2612209.8752941177,1266036.393529412,277.39000038146975,11.4,7.6,3.29,3.8,0.5483333333333333,42.0,49.0,46.0,139.0,69.0,19.0
7,2612264.70300813,1266063.1106504067,276.0599998474121,11.59,7.726667,6.26,3.8633335,1.0433333333333332,42.0,49.0,46.0,139.0,69.0,19.0
8,2612257.8133576643,1266053.566350365,276.39999996185304,11.21,7.4733334,6.6,3.7366667,1.0999999999999999,42.0,49.0,46.0,139.0,69.0,19.0
9,2612220.2444973546,1266083.7975132277,276.31,10.5,7.0,7.76,3.5,1.2933333333333332,42.0,49.0,46.0,139.0,69.0,19.0
10,2612232.9600636945,1266046.0572611466,276.74000003814695,10.04,6.6933336,7.07,3.3466668,1.1783333333333332,42.0,49.0,46.0,139.0,69.0,19.0
11,2612213.271889764,1266089.821968504,276.31000034332277,10.61,7.0733333,6.36,3.5366666,1.06,42.0,49.0,46.0,139.0,69.0,19.0
12,2612304.096730769,1266114.9161538463,274.890000076294,11.83,7.886667,5.75,3.9433334,0.9583333333333333,42.0,49.0,46.0,139.0,69.0,19.0
13,2612210.200810811,1266015.7591891892,277.6000002670288,9.03,6.02,5.94,3.01,0.99,42.0,49.0,46.0,139.0,69.0,19.0
14,2612245.9082481754,1266146.358321168,275.04999977111817,11.51,7.6733336,6.6,3.8366668,1.0999999999999999,42.0,49.0,46.0,139.0,69.0,19.0
15,2612136.355686275,1266494.8910784314,270.21000038146974,16.4,10.933333,8.06,5.4666667,1.3433333333333333,42.0,49.0,46.0,139.0,69.0,19.0
16,2612118.87582996,1266425.972834008,271.25999992370606,15.17,10.113334,8.87,5.056667,1.478333333333333,42.0,49.0,46.0,139.0,69.0,19.0
17,2612228.517218935,1266102.617337278,275.8299998474121,10.59,7.0600004,7.33,3.5300002,1.2216666666666667,42.0,49.0,46.0,139.0,69.0,19.0
18,2612261.2484905664,1266073.0857232704,275.9700004196167,10.44,6.96,7.11,3.48,1.185,42.0,49.0,46.0,139.0,69.0,19.0
19,2612126.356666667,1266465.7144444445,270.6200004577637,15.48,10.32,6.56,5.16,1.0933333333333333,42.0,49.0,46.0,139.0,69.0,19.0
20,2612326.353235294,1266090.5405882352,275.12999984741214,11.09,7.3933334,8.06,3.6966667,1.3433333333333333,42.0,49.0,46.0,139.0,69.0,19.0
21,2612227.546441718,1266066.8491411044,276.4199998474121,9.59,6.3933334,7.2,3.1966667,1.2,42.0,49.0,46.0,139.0,69.0,19.0
22,2612248.1164957266,1266058.3435042736,276.33999992370605,9.67,6.4466667,6.1,3.2233334,1.0166666666666666,42.0,49.0,46.0,139.0,69.0,19.0
23,2612204.586261682,1266104.308317757,276.1200002670288,9.78,6.52,5.84,3.26,0.9733333333333333,42.0,49.0,46.0,139.0,69.0,19.0
24,2612254.3573913043,1266097.783768116,275.6299995803833,10.06,6.706667,6.63,3.3533335,1.105,42.0,49.0,46.0,139.0,69.0,19.0
25,2612340.95,1266097.1442857145,274.66000003814696,11.04,7.36,7.46,3.68,1.2433333333333332,42.0,49.0,46.0,139.0,69.0,19.0
26,2612243.616804124,1266054.951443299,276.499999961853,8.96,5.9733334,5.56,2.9866667,0.9266666666666665,42.0,49.0,46.0,139.0,69.0,19.0
27,2612328.9012781954,1266009.7805263158,271.4800003814697,13.9,9.266666,6.51,4.633333,1.085,42.0,49.0,46.0,139.0,69.0,19.0
28,2612250.969831933,1266066.7422689076,276.1100002670288,9.28,6.1866665,6.15,3.0933332,1.025,42.0,49.0,46.0,139.0,69.0,19.0
29,2612136.3242723006,1266419.954976526,271.5500003814697,13.9,9.266666,8.23,4.633333,1.3716666666666666,42.0,49.0,46.0,139.0,69.0,19.0
30,2612299.663076923,1266072.177692308,275.54000034332273,9.61,6.4066668,6.43,3.2033334,1.0716666666666665,42.0,49.0,46.0,139.0,69.0,19.0
31,2612371.5669911504,1266075.1407964602,274.47999992370603,10.67,7.1133337,6.0,3.5566669,1.0,42.0,49.0,46.0,139.0,69.0,19.0
32,2612321.559902913,1266076.3952427185,275.26999980926513,10.05,6.7000003,5.73,3.3500001,0.9550000000000001,42.0,49.0,46.0,139.0,69.0,19.0
33,2612349.072692308,1266090.1501282053,274.41999969482424,10.68,7.1200004,7.05,3.5600002,1.1749999999999998,42.0,49.0,46.0,139.0,69.0,19.0
34,2612128.636794872,1266406.0892307693,271.80000045776364,13.73,9.153334,7.05,4.576667,1.1749999999999998,42.0,49.0,46.0,139.0,69.0,19.0
35,2612281.454655173,1266004.6993103449,276.9900003433228,8.11,5.4066668,6.08,2.7033334,1.0133333333333332,42.0,49.0,46.0,139.0,69.0,19.0
36,2612388.019411765,1266081.2641176472,274.109999961853,10.96,7.306667,5.2,3.6533334,0.8666666666666667,42.0,49.0,46.0,139.0,69.0,19.0
37,2612211.822038835,1266083.4486407768,276.39999988555905,8.63,5.7533336,5.73,2.8766668,0.9550000000000001,42.0,49.0,46.0,139.0,69.0,19.0
38,2612450.7860000003,1266007.746,274.38999954223635,10.52,7.013334,6.31,3.506667,1.0516666666666665,42.0,49.0,46.0,139.0,69.0,19.0
39,2612106.158115942,1266482.2728985508,270.6699998474121,18.09,12.06,6.63,6.03,1.105,42.0,49.0,46.0,139.0,69.0,19.0
40,2612284.2931250003,1266104.866875,275.1400001525879,9.66,6.44,7.14,3.22,1.19,42.0,49.0,46.0,139.0,69.0,19.0
