Tree_ID,X,Y,Z,Height_m,Crown_Diameter_m
0,2612123.72339371,1266078.1593713362,283.35570058604293,8.09,4.73
1,2612152.0986797586,1266080.6904157028,286.1386104695925,11.05,5.72
2,2612108.3811691604,1266129.034132757,281.45103211991517,7.52,5.37
3,2612166.074210862,1266094.0364133262,283.5804592496769,8.32,6.05
4,2612182.4232463622,1266102.1168651904,282.36073359803544,8.38,6.92
5,2612194.9804815156,1266090.4546136647,282.7138783128034,8.28,5.86
6,2612176.5679698056,1266112.0959395964,284.22838506711383,9.76,5.07
7,2612195.011384682,1266107.0673452509,281.78838147638544,8.0,4.97
8,2612189.932859758,1266117.2111512139,284.076084970306,10.33,4.78
9,2612203.76137109,1266114.7946264357,283.18087438423623,9.16,5.25
10,2612190.118517091,1266130.9994174358,281.1624650938846,7.52,4.73
11,2612115.492969738,1266163.17727837,281.2814483765052,8.59,5.02
12,2612103.2932589734,1266167.7712748996,280.4529482071713,6.23,4.59
13,2612111.778221471,1266184.6875391514,280.74813571961204,7.87,5.2
14,2612202.656213645,1266142.0582917705,281.6122901080631,8.36,5.04
15,2612208.3750704955,1266158.0487630747,280.8999045020474,8.75,5.94
16,2612190.6227166443,1266176.2701382297,281.54847953216364,7.5,5.05
17,2612206.644200961,1266193.6236183844,282.18258150721505,8.23,5.48
18,2612402.5291374708,1266051.9728032348,273.13070080862514,2.14,4.52
19,2612459.6784494766,1266051.097508576,274.61861252466525,11.52,8.5
20,2612221.874108655,1266081.5293288878,282.1220734506507,9.43,7.99
21,2612247.3863601405,1266074.1529384092,281.96860992301146,8.71,4.73
22,2612245.1566716186,1266091.2459588367,281.61454518341816,9.46,5.41
23,2612260.445809991,1266087.1130208536,280.780280176956,7.73,6.53
24,2612238.359534892,1266109.7465565111,282.00319869441074,8.77,5.2
25,2612251.4232546426,1266134.6707630842,280.9843300798552,8.57,7.18
26,2612312.828953075,1266095.1207243411,282.09593548387016,8.6,7.1
27,2612341.7430904023,1266078.2798616209,280.3879520295207,6.82,4.56
28,2612326.5718820607,1266087.2644165636,280.11622333751586,6.31,4.42
29,2612305.609491957,1266104.1501823685,283.4514893617017,9.62,5.57
30,2612328.5265472257,1266131.6029641698,280.112453854506,5.06,4.19
31,2612335.336893845,1266126.7252686764,280.97415465268665,5.59,4.11
32,2612227.4368086765,1266168.4106594392,281.51907525510444,10.1,8.46
33,2612244.4298473625,1266160.612911387,280.93217423678345,8.49,5.11
34,2612262.143689305,1266149.454008532,282.9166637246263,12.51,6.6
35,2612274.331922501,1266135.5553095157,280.38409159536883,7.61,5.17
36,2612237.3151231394,1266171.7829875383,281.26392929585654,9.54,5.38
37,2612229.090536272,1266194.0626708716,280.6353732912727,5.98,4.09
38,2612269.989884292,1266177.3621983465,281.5118016528922,4.54,4.0
39,2612250.8670512876,1266193.1281262345,280.5470414201182,5.78,4.13
40,2612260.438088087,1266184.76049049,281.2309909909917,6.22,4.25
41,2612312.171499414,1266144.7888331397,281.16453908984744,7.03,6.13
42,2612292.3805907527,1266160.250590751,281.43265410958935,6.68,4.63
43,2612299.115754839,1266154.3253806445,281.1597935483868,5.94,4.12
44,2612320.0386846447,1266138.861838112,280.7715177065765,3.86,3.94
45,2612319.001413994,1266164.8628415996,279.67624065261816,7.22,4.52
46,2612279.017976307,1266169.642941754,281.59934846989097,4.88,4.32
