Tree_ID,X,Y,Z,Crown_Diameter_m,height_m
1,2612214.878461539,1266035.9353846156,289.57,6.43,12.56
2,2612200.4531868133,1266466.006813187,291.7,7.61,21.43
3,2612206.292597403,1266465.4531168833,291.69,4.95,21.43
4,2612114.855909091,1266480.2290909092,289.47,6.48,18.94
5,2612312.9095121957,1266115.0919512196,288.54,8.08,13.8
6,2612209.8752941177,1266036.393529412,288.79,3.29,11.4
7,2612264.70300813,1266063.1106504067,287.65,6.26,11.59
8,2612257.8133576643,1266053.566350365,287.61,6.6,11.21
9,2612220.2444973546,1266083.7975132277,286.81,7.76,10.5
10,2612232.9600636945,1266046.0572611466,286.78,7.07,10.04
11,2612213.271889764,1266089.821968504,286.92,6.36,10.61
12,2612304.096730769,1266114.9161538463,286.72,5.75,11.83
13,2612210.200810811,1266015.7591891892,286.63,5.94,9.03
14,2612245.9082481754,1266146.358321168,286.56,6.6,11.51
15,2612136.355686275,1266494.8910784314,286.61,8.06,16.4
16,2612118.87582996,1266425.972834008,286.43,8.87,15.17
17,2612228.517218935,1266102.617337278,286.42,7.33,10.59
18,2612261.2484905664,1266073.0857232704,286.41,7.11,10.44
19,2612126.356666667,1266465.7144444445,286.1,6.56,15.48
20,2612326.353235294,1266090.5405882352,286.22,8.06,11.09
21,2612227.546441718,1266066.8491411044,286.01,7.2,9.59
22,2612248.1164957266,1266058.3435042736,286.01,6.1,9.67
23,2612204.586261682,1266104.308317757,285.9,5.84,9.78
24,2612254.3573913043,1266097.783768116,285.69,6.63,10.06
25,2612340.95,1266097.1442857145,285.7,7.46,11.04
26,2612243.616804124,1266054.951443299,285.46,5.56,8.96
27,2612328.9012781954,1266009.7805263158,285.38,6.51,13.9
28,2612250.969831933,1266066.7422689076,285.39,6.15,9.28
29,2612136.3242723006,1266419.954976526,285.45,8.23,13.9
30,2612299.663076923,1266072.177692308,285.15,6.43,9.61
31,2612371.5669911504,1266075.1407964602,285.15,6.0,10.67
32,2612321.559902913,1266076.3952427185,285.32,5.73,10.05
33,2612349.072692308,1266090.1501282053,285.1,7.05,10.68
34,2612128.636794872,1266406.0892307693,285.53,7.05,13.73
35,2612281.454655173,1266004.6993103449,285.1,6.08,8.11
36,2612388.019411765,1266081.2641176472,285.07,5.2,10.96
37,2612211.822038835,1266083.4486407768,285.03,5.73,8.63
38,2612450.7860000003,1266007.746,284.91,6.31,10.52
39,2612106.158115942,1266482.2728985508,288.76,6.63,18.09
40,2612284.2931250003,1266104.866875,284.8,7.14,9.66
41,2612111.304,1266384.806,284.77,8.92,12.58
42,2612293.4760927157,1266109.3282781458,284.87,6.93,9.86
43,2612522.0002362207,1266060.034566929,284.74,6.36,17.34
44,2612325.294255319,1266102.240212766,284.66,6.7,9.39
45,2612462.7990909093,1266007.1857024794,284.76,6.21,10.81
46,2612430.042777778,1266128.583888889,284.76,5.86,11.84
47,2612106.491265823,1266458.07,284.86,5.01,13.93
48,2613344.0293034827,1266769.5973631842,285.2,8.0,30.33
49,2612218.4832203398,1266112.4301694916,284.56,6.13,8.65
50,2612284.044545455,1266063.22,284.6,5.92,8.85
51,2612377.336902655,1266010.3266371682,284.48,6.0,16.53
52,2612399.7437234046,1266028.540744681,284.48,7.74,19.9
53,2612382.2685714285,1266016.2307142855,284.49,6.68,18.67
54,2612110.64,1266480.3755555556,289.21,2.39,18.59
55,2612142.421746032,1266447.3517460318,284.54,6.33,13.7
56,2612165.811052632,1266447.11784689,284.5,8.16,13.74
57,2612152.0682945736,1266434.4459689923,284.57,6.41,13.53
58,2612585.405625,1266020.4554166668,284.36,7.82,11.92
59,2612358.915362319,1266007.2004347828,284.27,6.63,18.93
60,2612439.321623932,1266002.1298290598,284.37,6.1,10.38
61,2612434.1367532467,1266003.3362337663,284.29,4.95,9.93
62,2612431.634,1266107.77,284.34,6.31,11.01
63,2612448.432735042,1266122.2024786326,284.32,6.1,11.53
64,2612110.7503603604,1266406.82,284.2,8.41,12.48
65,2612174.45,1266495.738,284.97,6.31,15.69
66,2612239.5206306307,1266059.7997297298,284.42,5.94,8.02
67,2613116.1596969697,1266819.8306060606,284.38,7.25,18.64
68,2612542.426585366,1266040.5273170732,284.37,5.11,14.96
69,2613240.485890412,1266828.5426027398,284.6,6.82,18.18
70,2612108.160588236,1266377.8170588235,284.47,5.2,12.3
71,2612209.047407408,1266090.7737037037,285.41,4.15,9.1
72,2612191.706964286,1266497.3110714287,284.16,5.97,14.33
73,2612156.957164179,1266435.07,284.53,4.62,13.53
74,2612226.665362319,1266114.97942029,284.02,6.63,8.32
75,2612122.588113208,1266474.4379245285,285.38,4.11,15.0
76,2612569.2272093026,1266023.2482945735,284.07,6.41,12.19
77,2612410.39,1266124.691359223,284.27,5.73,11.04
78,2612119.414305556,1266301.3616666668,283.95,6.77,10.69
79,2612714.5540211643,1266030.234021164,283.83,7.76,11.99
80,2613121.518318584,1266819.8753097346,284.23,6.0,18.09
81,2612352.563611111,1266142.3790277778,283.88,6.77,9.96
82,2612415.1580412374,1266125.394742268,284.25,5.56,11.13
83,2612546.29,1266039.57,284.32,3.34,15.38
84,2612361.6361538465,1266145.0776923078,284.13,6.43,10.46
85,2612120.313728813,1266312.197118644,283.7,7.51,10.59
86,2612111.5266906475,1266440.3361870504,283.78,6.65,12.67
87,2612212.156055046,1266424.216788991,284.23,5.89,13.38
88,2612424.1309638554,1266071.341084337,283.81,5.14,10.26
89,2612207.7081818185,1266083.1306060606,284.78,3.24,8.28
90,2612105.0751851853,1266488.295925926,284.0,6.56,13.44
91,2613245.8547435896,1266829.5828205128,284.76,7.05,18.35
92,2612107.688611111,1266468.9797222223,285.23,4.79,14.19
93,2612169.862440945,1266411.4361417324,283.73,6.36,12.36
94,2612258.377012987,1266236.3394805195,283.65,7.0,9.6
95,2612336.39,1266089.1014960632,283.62,6.36,8.7
96,2612503.39625,1266020.145,283.78,5.05,10.61
97,2612147.169279279,1266484.7997297298,284.25,5.94,14.08
98,2612130.499929078,1266307.1621985815,283.66,6.7,10.46
99,2612578.2408064515,1266011.4490322582,283.73,6.28,10.93
100,2612262.429772727,1266241.3967045457,283.58,7.48,9.4
101,2612466.942631579,1266043.0568421052,283.63,4.92,13.2
102,2612323.21781457,1266209.2421854306,283.5,6.93,9.62
103,2612290.403157895,1266123.6445614037,283.82,6.02,8.88
104,2612216.3483333336,1266424.695,284.16,4.79,13.3
