Tree_ID,X,Y,Height_m,Crown_Diameter_m
1,2612184.0633148993,1266048.1838540542,289.57,7.72
2,2612111.7870081887,1266670.2612647838,289.56,14.73
3,2612255.29593522,1266158.649094696,288.54,7.72
4,2612215.5820683567,1266072.6124175799,287.61,6.79
5,2612220.4224584075,1266086.022790672,287.65,6.23
6,2612188.484947845,1266114.8920656424,286.81,7.86
7,2612196.847541764,1266061.9857664986,286.78,8.67
8,2612207.993366225,1266202.0088480078,286.56,7.96
9,2612182.6767702247,1266123.4379204535,286.92,7.82
10,2612116.00828391,1266592.2797527406,286.43,8.72
11,2612126.7019235897,1266688.0461262357,286.61,10.45
12,2612181.338017409,1266019.965229012,286.63,5.94
13,2612248.943931015,1266158.385302932,286.72,6.1
14,2612217.9158077743,1266099.9346145652,286.41,7.29
15,2612194.5494111557,1266141.122356728,286.42,7.36
16,2612191.9866660577,1266090.816474375,286.39,9.01
17,2612121.305713677,1266647.5507180726,286.1,6.68
18,2612264.6549747605,1266124.2621712745,286.22,8.04
19,2612174.1111105024,1266648.202226009,291.7,8.46
20,2612205.474296266,1266080.1032850367,286.01,9.03
21,2612112.451080472,1266652.1629767597,285.72,10.85
22,2612275.08764645,1266133.5047096692,285.7,7.36
23,2612123.287289111,1266664.1348636,285.87,8.25
24,2612201.2039279626,1266211.530182358,286.06,8.44
25,2612212.9543277496,1266134.4526903538,285.69,6.53
26,2612177.3388673156,1266143.5984943528,285.9,5.81
27,2612127.0296768104,1266582.7584369665,285.45,8.31
28,2612205.398124391,1266074.57333712,285.46,5.53
29,2612119.421531958,1266658.0082030206,285.38,9.11
30,2612120.948124391,1266566.2962537867,285.53,10.09
31,2612266.4715145426,1266011.6377310595,285.38,6.48
32,2612245.507022292,1266098.6789350845,285.15,6.46
33,2612280.8324993914,1266123.8618787867,285.1,7.14
34,2612181.72357082,1266114.4650037868,285.03,6.68
35,2612210.6009911266,1266091.211078167,285.39,6.21
36,2612154.0432639318,1266685.4520112914,284.97,13.03
37,2612296.163022647,1266104.123724717,285.15,7.4
38,2612234.447328584,1266144.2213702463,284.8,7.16
39,2612353.6863787016,1266008.9813830971,284.91,6.08
40,2612108.967207513,1266636.668937797,284.86,7.92
41,2612129.158709069,1266656.5764093166,284.72,8.31
42,2612110.4381812094,1266535.0915189383,284.77,7.25
43,2612263.903940997,1266140.550222765,284.66,6.6
44,2612921.589866941,1267154.6621892173,284.76,9.8
45,2612139.748831508,1266604.6797848085,284.59,9.34
46,2612147.009264928,1266622.0705122612,284.5,10.62
