X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613487.31;1266914.37;255.28;60;48;51;0.0;0.82;0.57;44;-1
2613500.93;1266906.12;255.49;74;59;53;0.15;-0.85;0.5;44;-1
2613501.49;1266905.99;255.79;64;42;29;-0.86;-0.51;0.09;44;-1
2613501.12;1266905.68;255.72;64;44;33;-0.89;-0.43;-0.12;44;-1
2613501.12;1266905.68;255.72;64;44;33;-0.89;-0.43;-0.12;44;-1
2613501.49;1266905.99;255.79;64;42;29;-0.86;-0.51;0.09;44;-1
2613501.11;1266906.12;255.49;77;67;65;0.73;-0.54;0.42;44;-1
2613501.24;1266906.14;256.66;55;38;26;-0.02;0.19;0.98;44;-1
2613501.49;1266905.99;255.79;64;42;29;-0.86;-0.51;0.09;44;-1
2613501.49;1266905.99;255.79;64;42;29;-0.86;-0.51;0.09;44;-1
2613500.99;1266906.11;255.86;72;60;56;0.82;-0.48;0.31;44;-1
2613499.7;1266906.05;255.81;97;89;78;-0.48;-0.87;-0.07;44;-1
2613500.38;1266906.19;255.44;72;54;48;-0.27;-0.88;0.4;44;-1
2613501.24;1266906.14;256.66;55;38;26;-0.02;0.19;0.98;44;-1
2613501.24;1266906.14;256.66;55;38;26;-0.02;0.19;0.98;44;-1
2613500.19;1266906.18;255.5;72;54;50;-0.34;-0.92;0.22;44;-1
2613499.88;1266906.19;255.44;79;66;60;-0.44;-0.9;-0.04;44;-1
2613499.7;1266906.05;255.81;97;89;78;-0.48;-0.87;-0.07;44;-1
2613501.55;1266905.82;255.36;63;42;31;-0.61;-0.56;0.56;44;-1
2613501.12;1266906.28;256.12;67;48;40;-0.87;-0.24;0.44;44;-1
2613501.05;1266906.23;255.93;82;59;53;-0.2;-0.71;0.68;44;-1
2613501.05;1266906.06;255.61;77;67;63;0.89;-0.32;0.33;44;-1
2613500.07;1266906.19;255.44;78;63;58;-0.39;-0.91;0.09;44;-1
2613501.12;1266905.68;255.72;64;44;33;-0.89;-0.43;-0.12;44;-1
2613500.19;1266905.86;255.86;89;81;70;-0.36;-0.92;-0.12;44;-1
2613500.19;1266905.86;255.86;89;81;70;-0.36;-0.92;-0.12;44;-1
2613501.05;1266906.07;255.37;76;64;59;0.57;-0.69;0.45;44;-1
2613499.88;1266906.18;255.5;79;67;60;-0.49;-0.87;-0.02;44;-1
2613500.87;1266906.18;255.68;79;57;51;-0.06;-0.71;0.7;44;-1
2613499.7;1266906.05;255.81;97;89;78;-0.48;-0.87;-0.07;44;-1
2613500.99;1266906.17;255.87;83;64;60;0.67;-0.55;0.5;44;-1
2613500.56;1266906.18;255.56;69;50;43;-0.19;-0.85;0.49;44;-1
2613501.05;1266906.18;255.62;79;68;65;0.81;-0.43;0.39;44;-1
2613500.56;1266906.18;255.5;70;52;45;-0.2;-0.86;0.47;44;-1
2613501.12;1266906.28;256.12;67;48;40;-0.87;-0.24;0.44;44;-1
2613501.24;1266906.14;256.66;55;38;26;-0.02;0.19;0.98;44;-1
2613501.12;1266906.28;256.12;67;48;40;-0.87;-0.24;0.44;44;-1
2613501.12;1266905.68;255.72;64;44;33;-0.89;-0.43;-0.12;44;-1
2613501.49;1266905.99;255.79;64;42;29;-0.85;-0.51;0.11;44;-1
2613486.53;1266911.47;256.95;77;59;60;-0.2;0.1;0.97;44;-1
2613486.77;1266909.97;255.84;73;50;44;0.03;-0.53;0.85;44;-1
2613486.77;1266909.42;255.88;85;55;49;0.56;0.21;0.8;44;-1
2613487.01;1266914.11;255.58;74;64;66;0.1;0.56;0.82;44;-1
2613486.15;1266912.48;256.25;63;50;51;-0.54;0.41;0.73;44;-1
2613487.76;1266911.16;256.93;84;64;64;-0.01;-0.11;0.99;44;-1
2613487.26;1266913.87;255.57;77;59;61;0.04;0.32;0.95;44;-1
2613486.34;1266909.73;255.77;75;54;50;-0.16;-0.97;0.18;44;-1
2613487.75;1266910.28;255.79;82;58;48;-0.04;-0.49;0.87;44;-1
2613487.69;1266911.97;256.72;75;55;52;0.63;0.26;0.74;44;-1
2613486.22;1266911.17;256.75;76;58;59;-0.51;-0.02;0.86;44;-1
2613487.26;1266907.9;255.26;62;45;38;-0.13;-0.81;0.57;44;-1
2613487.45;1266910.45;256.35;76;51;45;-0.24;-0.77;0.59;44;-1
2613487.26;1266909.0;255.61;77;52;45;-0.05;-0.09;0.99;44;-1
2613488.31;1266912.36;256.36;76;58;58;0.23;0.24;0.94;44;-1
2613486.28;1266908.99;255.68;75;54;50;-0.3;-0.42;0.86;44;-1
2613488.74;1266911.23;256.75;83;61;56;0.04;-0.06;1.0;44;-1
2613487.69;1266912.84;256.45;79;58;57;-0.43;0.85;0.32;44;-1
2613488.99;1266909.0;255.54;72;47;41;-0.14;-0.03;0.99;44;-1
2613488.0;1266907.96;255.5;70;50;44;-0.05;-0.87;0.49;44;-1
2613487.26;1266910.74;256.73;78;53;49;0.14;-0.48;0.87;44;-1
2613487.2;1266908.5;255.65;68;46;42;-0.18;-0.13;0.97;44;-1
2613485.97;1266910.92;256.68;61;46;44;-0.86;0.13;0.5;44;-1
2613488.0;1266908.08;255.57;70;47;41;-0.26;-0.53;0.81;44;-1
2613487.94;1266911.92;256.59;74;54;49;0.5;0.58;0.64;44;-1
2613488.49;1266908.69;255.53;80;65;62;0.08;-0.41;0.91;44;-1
2613488.68;1266909.49;255.63;75;51;43;-0.14;-0.48;0.87;44;-1
2613488.06;1266907.85;255.19;62;43;38;-0.01;-0.98;0.21;44;-1
