X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613492.53;1266963.37;268.19;94;70;68;-0.09;-0.79;0.61;45;20
2613492.54;1266962.45;268.15;87;67;66;-0.28;-0.21;0.94;45;20
2613498.82;1266960.14;269.08;88;63;60;-0.38;-0.01;0.92;61;20
2613494.51;1266962.89;269.45;107;83;79;0.45;-0.37;0.81;45;20
2613493.53;1266963.68;269.61;106;82;78;-0.4;-0.45;0.8;45;20
2613497.39;1266967.99;268.48;73;55;56;0.19;0.42;0.89;45;20
2613497.71;1266959.04;268.79;86;65;65;-0.46;-0.08;0.88;61;20
2613493.83;1266960.72;268.38;86;62;60;0.0;-0.13;0.99;45;20
2613492.6;1266960.49;267.95;79;63;57;-0.64;-0.53;0.56;45;20
2613498.7;1266959.03;269.15;87;64;66;-0.34;0.03;0.94;61;20
2613495.17;1266968.75;267.85;61;42;40;-0.36;0.54;0.76;45;20
2613495.85;1266968.43;268.2;66;49;50;-0.34;0.4;0.85;45;20
2613499.69;1266957.12;269.07;87;65;66;-0.63;-0.15;0.76;61;20
2613497.35;1266956.04;268.36;76;57;52;-0.55;-0.46;0.7;61;20
2613497.64;1266966.16;269.33;69;49;48;0.38;0.24;0.9;45;20
2613495.68;1266964.3;269.75;83;59;58;-0.3;-0.66;0.69;45;20
2613500.24;1266959.85;270.04;82;60;60;-0.77;0.02;0.63;61;20
2613494.57;1266960.72;268.38;95;72;68;-0.13;-0.22;0.97;45;20
2613499.93;1266963.63;269.52;81;65;75;0.65;0.49;0.58;45;20
2613499.99;1266964.57;269.25;82;69;78;-0.02;0.34;0.94;45;20
2613493.28;1266960.67;268.07;93;69;65;-0.09;-0.0;1.0;45;20
2613494.19;1266966.7;268.26;61;43;40;-0.42;0.54;0.73;45;20
2613495.49;1266966.54;269.05;71;51;51;-0.61;0.34;0.71;45;20
2613496.11;1266963.99;269.8;82;60;59;-0.76;-0.03;0.65;45;20
2613495.19;1266958.02;268.08;79;62;61;-0.58;-0.26;0.77;61;20
