X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613469.39;1266719.48;261.65;84;65;62;-0.1;-0.14;0.99;9;9
2613469.39;1266718.51;261.36;83;66;64;-0.26;-0.65;0.71;9;9
2613473.32;1266731.7;262.87;85;63;62;0.59;0.03;0.81;79;9
2613466.56;1266727.23;263.34;87;62;61;-0.05;0.04;1.0;9;9
2613468.53;1266725.14;263.43;84;63;60;0.27;-0.04;0.96;9;9
2613464.65;1266723.08;262.37;87;62;57;-0.26;-0.46;0.85;9;9
2613468.59;1266722.16;262.5;84;62;61;-0.11;-0.64;0.76;9;9
2613472.34;1266729.47;263.03;77;54;51;0.52;-0.42;0.74;79;9
2613464.15;1266729.47;261.28;81;62;56;-0.63;0.33;0.71;9;9
2613471.48;1266723.96;262.19;71;51;50;-0.15;-0.15;0.98;9;9
2613471.54;1266728.79;263.01;82;59;61;0.43;-0.37;0.82;79;9
2613466.24;1266730.23;262.35;93;71;76;-0.15;-0.27;0.95;9;9
2613471.79;1266720.49;261.31;65;58;56;0.66;-0.2;0.72;9;9
2613464.71;1266729.18;262.38;90;66;70;-0.41;0.29;0.86;9;9
2613464.28;1266726.71;262.46;82;55;52;-0.61;0.09;0.79;9;9
2613464.09;1266727.59;262.13;83;63;57;-0.55;0.2;0.81;9;9
2613464.77;1266727.21;262.36;81;52;49;-0.56;0.69;0.46;9;9
2613464.45;1266731.24;261.85;82;57;53;-0.3;0.31;0.9;72;9
2613464.76;1266730.0;261.92;83;61;53;-0.19;0.05;0.98;9;9
2613464.84;1266725.03;262.94;86;63;62;-0.23;-0.05;0.97;9;9
2613471.73;1266720.43;261.12;60;54;51;0.74;-0.38;0.56;9;9
2613463.11;1266725.49;262.17;82;58;53;-0.53;0.08;0.85;9;9
2613466.12;1266728.22;261.78;108;94;113;-0.14;0.17;0.98;9;9
2613467.49;1266723.8;262.94;90;66;61;-0.04;-0.24;0.97;9;9
2613465.63;1266728.55;262.78;82;54;51;-0.11;-0.2;0.97;9;9
2613465.08;1266724.54;262.92;89;65;62;-0.34;-0.06;0.94;9;9
2613472.53;1266723.85;262.0;89;69;69;0.38;-0.13;0.92;9;9
2613467.23;1266731.75;263.03;88;69;66;-0.29;0.23;0.93;72;9
2613470.25;1266726.94;263.06;94;78;88;0.41;-0.57;0.71;9;9
2613472.22;1266725.93;262.27;97;81;89;0.18;-0.04;0.98;9;9
2613466.38;1266719.87;261.25;78;61;58;-0.47;-0.87;0.16;9;9
2613464.95;1266732.16;261.88;88;68;65;-0.48;0.02;0.88;72;9
2613470.19;1266732.03;263.7;87;63;66;-0.01;0.09;1.0;72;9
2613465.01;1266729.18;262.5;89;63;65;-0.18;0.37;0.91;9;9
2613469.03;1266722.15;262.68;83;59;57;0.17;-0.17;0.97;9;9
2613467.12;1266720.16;261.75;86;69;65;-0.05;-0.1;0.99;9;9
2613471.11;1266732.03;263.76;88;67;70;-0.02;-0.15;0.99;79;9
2613468.65;1266730.86;263.54;89;66;61;-0.41;0.01;0.91;72;9
2613468.22;1266730.0;263.63;85;61;56;-0.31;0.21;0.93;72;9
2613466.37;1266730.03;262.65;89;64;59;-0.54;0.05;0.84;9;9
2613467.23;1266731.44;263.01;89;65;63;-0.09;0.3;0.95;72;9
2613464.22;1266722.37;261.67;83;59;56;-0.23;-0.27;0.94;9;9
2613472.22;1266730.63;263.21;85;64;66;0.67;-0.44;0.6;79;9
2613468.59;1266722.06;262.0;85;64;61;-0.23;-0.13;0.96;9;9
2613473.14;1266728.64;262.32;102;84;95;0.08;-0.25;0.96;79;9
2613467.05;1266728.04;263.31;81;55;52;-0.08;0.03;1.0;9;9
2613465.82;1266722.89;262.67;85;61;56;-0.08;-0.38;0.92;9;9
2613463.42;1266722.8;261.81;86;66;61;-0.19;-0.22;0.96;9;9
