X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613283.7;1266949.54;265.95;87;67;66;-0.19;-0.03;0.98;4;4
2613283.77;1266948.5;265.79;84;64;63;-0.11;-0.08;0.99;4;4
2613280.87;1266952.44;265.59;87;70;67;-0.89;-0.45;0.11;68;4
2613284.01;1266948.43;265.91;83;59;58;-0.21;-0.18;0.96;4;4
2613283.03;1266949.42;265.77;80;58;55;-0.22;-0.06;0.97;4;4
2613282.41;1266949.74;265.47;91;77;75;-0.88;-0.48;0.02;4;4
2613282.6;1266949.29;265.89;74;60;58;0.54;0.49;0.69;4;4
2613281.05;1266952.14;265.39;95;80;78;-0.87;-0.5;-0.01;68;4
2613282.53;1266949.92;265.67;80;59;57;-0.39;-0.07;0.92;68;4
2613284.14;1266946.54;265.52;78;58;55;-0.82;-0.55;0.15;4;4
2613283.52;1266949.23;265.88;82;61;58;-0.28;-0.07;0.96;4;4
2613283.77;1266947.76;265.76;76;55;50;-0.26;-0.06;0.96;4;4
2613282.66;1266950.58;266.0;80;61;53;-0.34;-0.18;0.92;68;4
2613283.52;1266948.5;265.79;79;59;58;-0.29;-0.17;0.94;4;4
2613281.24;1266952.0;265.88;77;58;55;-0.63;-0.22;0.75;68;4
2613282.04;1266950.48;265.38;95;79;76;-0.89;-0.46;-0.01;68;4
2613283.77;1266948.74;265.92;80;60;60;-0.19;-0.15;0.97;4;4
2613280.81;1266952.74;265.85;78;57;55;-0.65;-0.46;0.61;68;4
2613282.6;1266950.46;265.87;76;59;57;-0.48;-0.33;0.81;68;4
2613283.46;1266947.63;265.81;77;65;63;0.6;0.11;0.79;4;4
2613281.3;1266951.71;265.44;98;79;75;-0.87;-0.49;0.06;68;4
2613281.55;1266951.45;265.86;79;55;51;-0.76;-0.43;0.49;68;4
2613283.09;1266948.5;265.6;73;56;55;-0.72;-0.37;0.59;4;4
2613283.27;1266948.5;265.73;74;56;55;-0.45;-0.18;0.87;4;4
2613283.77;1266949.72;265.96;85;64;62;-0.29;-0.11;0.95;4;4
2613283.27;1266948.21;265.22;99;85;82;-0.89;-0.45;-0.03;4;4
2613280.74;1266952.63;265.6;83;66;62;-0.86;-0.51;-0.02;68;4
2613283.46;1266947.77;265.51;89;71;68;-0.89;-0.44;0.14;4;4
2613284.2;1266946.55;265.21;97;81;79;-0.85;-0.51;-0.08;4;4
2613282.35;1266951.51;265.79;89;70;66;0.29;0.27;0.92;68;4
2613283.52;1266949.48;265.89;86;64;61;-0.06;0.03;1.0;4;4
2613284.26;1266946.72;265.53;85;64;60;-0.3;-0.43;0.85;4;4
2613281.98;1266951.2;265.91;83;62;57;-0.46;-0.22;0.86;68;4
2613281.86;1266951.2;265.91;79;58;52;-0.65;-0.37;0.66;68;4
2613283.52;1266947.7;265.69;80;64;61;-0.57;-0.24;0.78;4;4
2613283.58;1266947.45;265.74;76;64;60;0.45;0.12;0.88;4;4
2613283.46;1266947.63;265.81;77;65;63;0.61;0.11;0.79;4;4
2613282.78;1266950.21;265.92;75;59;59;-0.42;-0.42;0.8;68;4
2613280.81;1266952.92;265.86;80;59;57;-0.45;-0.4;0.8;68;4
2613281.86;1266950.83;265.83;77;59;57;-0.79;-0.43;0.43;68;4
2613281.67;1266951.21;265.66;86;67;62;-0.84;-0.44;0.33;68;4
2613282.78;1266949.24;265.64;77;58;55;-0.72;-0.34;0.61;4;4
2613283.52;1266950.4;265.93;95;69;64;-0.1;-0.21;0.97;4;4
2613281.61;1266951.16;265.41;98;79;76;-0.87;-0.46;0.16;68;4
2613283.71;1266947.34;265.49;85;69;67;-0.88;-0.48;-0.02;4;4
2613282.84;1266949.91;265.91;77;59;55;-0.28;-0.33;0.9;4;4
2613284.14;1266946.61;265.21;98;81;78;-0.85;-0.52;-0.08;4;4
2613280.68;1266952.88;265.43;97;81;75;-0.87;-0.48;-0.09;68;4
2613282.78;1266949.0;265.44;89;72;69;-0.87;-0.47;0.13;4;4
2613282.53;1266949.5;265.4;93;76;74;-0.88;-0.47;-0.01;4;4
2613283.58;1266947.52;265.5;87;71;70;-0.88;-0.47;-0.02;4;4
2613281.36;1266951.46;265.61;91;74;70;-0.86;-0.51;0.01;68;4
2613282.72;1266949.18;265.51;88;71;67;-0.84;-0.51;0.2;4;4
2613281.98;1266950.77;265.89;78;58;55;-0.77;-0.44;0.47;68;4
2613282.23;1266950.89;265.89;82;61;53;-0.48;-0.27;0.84;68;4
2613281.36;1266951.46;265.49;93;76;74;-0.88;-0.48;-0.01;68;4
2613284.14;1266946.78;265.59;82;60;57;-0.16;-0.45;0.88;4;4
2613280.99;1266952.93;265.86;83;61;58;-0.27;-0.28;0.92;68;4
2613284.08;1266948.0;265.89;82;59;57;-0.19;-0.12;0.97;4;4
2613281.73;1266952.73;266.09;77;55;53;-0.46;-0.26;0.85;68;4
2613283.83;1266947.27;265.67;74;55;52;-0.63;-0.19;0.75;4;4
