;X coordinate;Y coordinate;Z coordinate;Red color (0-255);Green color (0-255);Blue color (0-255);X scan dir;Y scan dir;Z scan dir;Hue (°);Saturation (%);Value (%)
X coordinate;1.0;-0.16012063380739983;-0.384270752418086;-0.0424067519431481;-0.05162722823910668;-0.07796082325261863;0.032617507154553756;7.451709035694852e-05;0.002479949598257;-0.044293191452454;0.012557659160763832;-0.06632426272635206
Y coordinate;-0.16012063380739983;1.0;-0.06268576139965873;0.07739473538426574;0.07335520489200205;0.053077804531811296;-0.0015949775194642468;0.085383694067504;-0.01668278913563547;0.05343001913896945;-0.00923543548063405;0.06742404043767268
Z coordinate;-0.384270752418086;-0.06268576139965873;1.0;-0.05498897647956299;-0.07426273376417165;-0.012499510721706008;0.012650808538036478;0.012725855667777036;-0.031311270730377774;0.06867974205157854;-0.022882591513824033;-0.04068323640386928
Red color (0-255);-0.0424067519431481;0.07739473538426574;-0.05498897647956299;1.0;0.9602720142437212;0.8382441418025179;-0.18912335487300141;-0.31872998562435534;-0.21587801017876834;-0.10362974833708051;-0.014292273100828605;0.9690306243878796
Green color (0-255);-0.05162722823910668;0.07335520489200205;-0.07426273376417165;0.9602720142437212;1.0;0.9403722236099858;-0.03451804601771593;-0.21590178870764887;-0.2225974930659271;0.06907478253717855;-0.16766257966102743;0.9809782836501192
Blue color (0-255);-0.07796082325261863;0.053077804531811296;-0.012499510721706008;0.8382441418025179;0.9403722236099858;1.0;0.1318106124789457;-0.02738966589203194;-0.20183681402521425;0.3234098863657839;-0.30035747895350445;0.9254623459762724
X scan dir;0.032617507154553756;-0.0015949775194642468;0.012650808538036478;-0.18912335487300141;-0.03451804601771593;0.1318106124789457;1.0;0.03107945346564083;0.022073836798447193;0.5342108582878702;-0.26002972497148763;-0.0721798314888563
Y scan dir;7.451709035694852e-05;0.085383694067504;0.012725855667777036;-0.31872998562435534;-0.21590178870764887;-0.02738966589203194;0.03107945346564083;1.0;0.030472034913126972;0.38507066027899933;-0.1427052140485141;-0.2073804125017458
Z scan dir;0.002479949598257;-0.01668278913563547;-0.031311270730377774;-0.21587801017876834;-0.2225974930659271;-0.20183681402521425;0.022073836798447193;0.030472034913126972;1.0;0.033485389403523864;0.06824706138660704;-0.21299660432710063
Hue (°);-0.044293191452454;0.05343001913896945;0.06867974205157854;-0.10362974833708051;0.06907478253717855;0.3234098863657839;0.5342108582878702;0.38507066027899933;0.033485389403523864;1.0;-0.46478327536165037;0.031223095801727767
Saturation (%);0.012557659160763832;-0.00923543548063405;-0.022882591513824033;-0.014292273100828605;-0.16766257966102743;-0.30035747895350445;-0.26002972497148763;-0.1427052140485141;0.06824706138660704;-0.46478327536165037;1.0;-0.017078462833751824
Value (%);-0.06632426272635206;0.06742404043767268;-0.04068323640386928;0.9690306243878796;0.9809782836501192;0.9254623459762724;-0.0721798314888563;-0.2073804125017458;-0.21299660432710063;0.031223095801727767;-0.017078462833751824;1.0
