;X coordinate;Y coordinate;Z coordinate;Red color (0-255);Green color (0-255);Blue color (0-255);X scan dir;Y scan dir;Z scan dir;Hue (°);Saturation (%);Value (%)
X coordinate;1.0;-0.24158312761701675;-0.2243355110702003;0.17764789347314972;0.22629405415547107;0.2571901261498801;-0.016033910410082525;-0.015473348920769216;0.004066302296699719;-0.06458992276388503;-0.3205080921080446;0.18234213041927377
Y coordinate;-0.24158312761701675;1.0;-0.13441044500720536;0.16855105339179058;0.17077478180454875;0.1761778208151696;0.0010699081153130487;-0.04730512837753253;0.03272263563291707;0.03503977464903974;0.09213406761882066;0.1897031415696252
Z coordinate;-0.2243355110702003;-0.13441044500720536;1.0;-0.6329678529940248;-0.6131984855118126;-0.4692036850329841;-0.02904409853711339;0.025940031126508365;-0.06989689561978302;0.48675637415890943;-0.07459906672994822;-0.6106335737768349
Red color (0-255);0.17764789347314972;0.16855105339179058;-0.6329678529940248;1.0;0.9899895258565402;0.9307190773799726;-0.022170835440333395;0.009658887190034897;0.5422888170818534;-0.31834431640111505;-0.17782447555299463;0.9955617391674555
Green color (0-255);0.22629405415547107;0.17077478180454875;-0.6131984855118126;0.9899895258565402;1.0;0.9650614906049373;-0.016756449226152055;0.012513682993944678;0.5280709730194836;-0.26932148868733774;-0.28778685798581344;0.9909973556532926
Blue color (0-255);0.2571901261498801;0.1761778208151696;-0.4692036850329841;0.9307190773799726;0.9650614906049373;1.0;-0.013393742078909008;0.018936898940573096;0.5240549133170285;-0.0918261741168598;-0.45620511447610573;0.9437595016520451
X scan dir;-0.016033910410082525;0.0010699081153130487;-0.02904409853711339;-0.022170835440333395;-0.016756449226152055;-0.013393742078909008;1.0;-0.1131080419519825;-0.12095047206048035;0.016001164571012014;0.02654909944543142;-0.012503605445399317
Y scan dir;-0.015473348920769216;-0.04730512837753253;0.025940031126508365;0.009658887190034897;0.012513682993944678;0.018936898940573096;-0.1131080419519825;1.0;0.09981195116462838;0.013197818513511761;-0.020934358401875214;0.011486133999261612
Z scan dir;0.004066302296699719;0.03272263563291707;-0.06989689561978302;0.5422888170818534;0.5280709730194836;0.5240549133170285;-0.12095047206048035;0.09981195116462838;1.0;-0.017538549790795162;-0.062185587769237556;0.5435343897367623
Hue (°);-0.06458992276388503;0.03503977464903974;0.48675637415890943;-0.31834431640111505;-0.26932148868733774;-0.0918261741168598;0.016001164571012014;0.013197818513511761;-0.017538549790795162;1.0;-0.3961849675642382;-0.3092949259621553
Saturation (%);-0.3205080921080446;0.09213406761882066;-0.07459906672994822;-0.17782447555299463;-0.28778685798581344;-0.45620511447610573;0.02654909944543142;-0.020934358401875214;-0.062185587769237556;-0.3961849675642382;1.0;-0.17476396423142299
Value (%);0.18234213041927377;0.1897031415696252;-0.6106335737768349;0.9955617391674555;0.9909973556532926;0.9437595016520451;-0.012503605445399317;0.011486133999261612;0.5435343897367623;-0.3092949259621553;-0.17476396423142299;1.0
