;X coordinate;Y coordinate;Z coordinate;Red color (0-255);Green color (0-255);Blue color (0-255);X scan dir;Y scan dir;Z scan dir;Hue (°);Saturation (%);Value (%)
X coordinate;1.0;-0.9794022387877619;0.8085164152513753;0.6365984407612664;0.6067882695679894;0.521115130096267;-0.11280876366063718;-0.08837227058748294;0.1625649172989986;-0.14102467641630112;-0.5765003350034252;0.5237276460153268
Y coordinate;-0.9794022387877619;1.0;-0.7645237988673262;-0.6561429258903358;-0.6294898481384952;-0.5412932182219838;0.09086242015757974;0.08521420058532501;-0.1680546380243545;0.17056479730758745;0.586728772662221;-0.5442695653362597
Z coordinate;0.8085164152513753;-0.7645237988673262;1.0;0.2682446526252278;0.25172932828406547;0.20862215144253896;-0.17362939774524067;-0.1274030567748256;0.08954780365850402;0.0013275789496037472;-0.26203014433459704;0.20838800548954384
Red color (0-255);0.6365984407612664;-0.6561429258903358;0.2682446526252278;1.0;0.9835725998508748;0.9323711733397669;-0.005892598796070095;-0.05168316346724451;0.27877545751685956;-0.03408553520559295;-0.6871269767013513;0.9350630103871304
Green color (0-255);0.6067882695679894;-0.6294898481384952;0.25172932828406547;0.9835725998508748;1.0;0.9731698964268483;-0.03134869780926356;-0.0762984572363242;0.28564264142052115;-0.002513675063876649;-0.5637417583887923;0.9747765537472979
Blue color (0-255);0.521115130096267;-0.5412932182219838;0.20862215144253896;0.9323711733397669;0.9731698964268483;1.0;-0.07331837695133017;-0.11186844635618218;0.29951930610275235;0.14107340387410577;-0.3810096506213903;0.999807381591803
X scan dir;-0.11280876366063718;0.09086242015757974;-0.17362939774524067;-0.005892598796070095;-0.03134869780926356;-0.07331837695133017;1.0;0.33043768573402843;-0.40298175002392195;-0.05070451833323342;-0.13897731094793514;-0.07297286321319685
Y scan dir;-0.08837227058748294;0.08521420058532501;-0.1274030567748256;-0.05168316346724451;-0.0762984572363242;-0.11186844635618218;0.33043768573402843;1.0;-0.3231215060289226;-0.03988512980645443;-0.09789068040011634;-0.11194232267979215
Z scan dir;0.1625649172989986;-0.1680546380243545;0.08954780365850402;0.27877545751685956;0.28564264142052115;0.29951930610275235;-0.40298175002392195;-0.3231215060289226;1.0;0.02694339957064475;-0.12469175863783592;0.3004499508414864
Hue (°);-0.14102467641630112;0.17056479730758745;0.0013275789496037472;-0.03408553520559295;-0.002513675063876649;0.14107340387410577;-0.05070451833323342;-0.03988512980645443;0.02694339957064475;1.0;0.3648013129368256;0.12540803910577886
Saturation (%);-0.5765003350034252;0.586728772662221;-0.26203014433459704;-0.6871269767013513;-0.5637417583887923;-0.3810096506213903;-0.13897731094793514;-0.09789068040011634;-0.12469175863783592;0.3648013129368256;1.0;-0.387978079417574
Value (%);0.5237276460153268;-0.5442695653362597;0.20838800548954384;0.9350630103871304;0.9747765537472979;0.999807381591803;-0.07297286321319685;-0.11194232267979215;0.3004499508414864;0.12540803910577886;-0.387978079417574;1.0
