Tree_ID,X,Y,Height_m,Crown_Diameter_m
1,2612174.2105717817,1266645.6768724737,291.7,4.86
2,2612173.515999391,1266649.6766704535,291.7,5.46
3,2612178.8094730754,1266647.9728985236,291.69,3.89
4,2612111.9817047394,1266673.1544841097,289.56,8.88
5,2612185.139819211,1266050.1701839669,289.52,2.97
6,2612182.181471253,1266048.3558046524,289.57,4.29
7,2612185.145396217,1266046.4384164852,289.45,3.17
8,2612186.4043743913,1266048.6243787867,289.54,2.52
9,2612177.2014096477,1266650.712760197,291.7,3.52
10,2612183.3088882803,1266051.0900037868,289.02,1.89
11,2612254.3810789366,1266156.8195492413,288.54,3.74
12,2612253.8811406954,1266159.7902755258,288.41,3.83
13,2612257.142258527,1266159.015751295,288.44,4.89
14,2612109.5485708197,1266668.4828609296,289.21,2.89
15,2612215.6559698554,1266072.57333712,287.61,6.14
16,2612107.6629945603,1266671.1216462988,289.07,4.06
17,2612221.692618439,1266086.6816704534,287.64,4.09
18,2612197.981035427,1266062.5508145976,286.78,4.2
19,2612181.4238245278,1266019.9811240053,286.63,5.4
20,2612198.585624391,1266065.2536756617,286.67,3.19
21,2612220.855713677,1266084.3522486847,287.62,1.97
22,2612128.7510560923,1266689.5048233743,286.61,5.56
23,2612215.9663408548,1266074.7400037867,287.37,1.81
24,2612249.0808018604,1266160.124263046,286.66,3.59
25,2612209.1455445625,1266200.76804117,286.56,5.05
26,2612250.4192057406,1266157.7995275962,286.72,3.17
27,2612218.7917735847,1266084.877100561,287.58,2.22
28,2612247.930655129,1266157.1395939507,286.65,3.12
29,2612218.62357082,1266087.3069680724,287.02,2.11
30,2612218.0867247432,1266100.085954491,286.41,6.72
31,2612186.6538062096,1266115.9005151503,286.72,3.74
32,2612263.8579250877,1266125.8375270066,286.22,5.07
33,2612193.6352978987,1266143.3911231898,286.42,3.27
34,2612190.8942851056,1266115.8257180725,286.81,3.73
35,2612187.030820287,1266113.3034366225,286.76,3.27
36,2612184.0772809447,1266125.897770777,286.91,2.86
37,2612121.5901292614,1266648.1257180725,286.1,5.54
38,2612181.857400966,1266126.0214998499,286.92,3.18
39,2612196.1891582697,1266142.8848636,286.36,2.92
40,2612188.884814206,1266117.011608725,286.68,2.54
41,2612116.929999391,1266590.6375037867,286.43,2.82
42,2612193.1768877525,1266090.542854143,285.95,5.79
43,2612265.444621748,1266122.8245959317,285.93,5.13
44,2612193.442726664,1266140.2365946958,286.26,4.18
45,2612195.136760755,1266092.7769356049,286.01,3.74
46,2612123.2880690573,1266664.4950836126,285.87,7.4
47,2612182.360321972,1266021.7480683029,286.09,1.57
48,2612196.493076314,1266140.0015422483,286.01,3.22
49,2612208.237499391,1266078.5800037868,285.96,2.82
50,2612189.9851779626,1266112.7891109297,286.71,2.99
51,2612126.119295166,1266686.3884779653,286.35,5.82
52,2612114.344271236,1266590.679324175,286.33,2.86
53,2612130.3749993914,1266690.9550037868,286.02,2.82
54,2612117.4842851055,1266593.9304799773,286.19,2.89
55,2612205.638054947,1266201.9400037867,286.48,3.78
56,2612276.51720436,1266133.27028329,285.7,5.06
57,2612195.6523164646,1266064.7156135428,286.38,2.55
58,2612113.1489467598,1266593.0584248393,286.24,2.75
59,2612117.6276916987,1266591.9707730175,286.31,1.76
60,2612208.5335410577,1266081.0212537867,285.94,1.95
61,2612184.06142096,1266121.972846924,286.59,4.03
62,2612178.1470827246,1266144.8087537868,285.9,3.09
63,2612110.182797656,1266651.3528020515,285.71,6.06
64,2612200.3852418857,1266210.3237220317,285.54,5.87
65,2612127.069999391,1266582.8929888613,285.45,7.66
66,2612197.421503151,1266058.386620328,285.92,3.25
67,2612213.4681952675,1266136.295416158,285.69,3.93
68,2612118.4079623544,1266658.1921642807,285.38,6.22
69,2612206.663922043,1266075.1502247811,285.46,3.8
70,2612210.685238686,1266091.399323686,285.39,5.62
71,2612121.538749391,1266645.3993787868,286.09,2.52
72,2612219.3881812096,1266086.2968219686,287.65,1.32
73,2612196.2796768104,1266066.2238747545,285.93,1.57
74,2612195.6721733045,1266060.405221178,285.78,3.03
75,2612214.1595827243,1266132.8358371202,285.62,3.09
76,2612178.2936836015,1266142.2362443882,285.66,3.25
77,2612114.2162759867,1266595.104365489,286.18,2.74
78,2612112.9283327246,1266653.3775037867,285.72,2.19
79,2612180.9882092676,1266123.0918556387,286.56,3.59
80,2612111.060908482,1266655.6430340898,285.4,3.62
81,2612267.425262549,1266012.8598868276,285.38,3.69
82,2612262.0148269776,1266106.3951762004,285.32,3.4
83,2612207.786345545,1266204.634234556,286.3,2.88
84,2612123.235492349,1266564.8265229014,285.53,6.29
85,2612233.799507588,1266003.6443753715,285.1,3.82
86,2612282.499576856,1266124.426623505,285.08,3.36
87,2612181.9903425286,1266114.341106728,285.03,5.7
88,2612279.7554832622,1266123.2964553996,285.1,4.71
89,2612156.973360736,1266688.960592022,284.97,6.15
90,2612120.761519859,1266566.7356178218,285.51,3.69
91,2612231.540360216,1266005.438457395,284.96,3.93
92,2612353.77486875,1266009.1117377535,284.91,5.79
93,2612176.086666058,1266144.9733371201,285.68,2.44
94,2612266.8236490265,1266010.019200867,285.35,3.3
95,2612122.262622342,1266658.185700508,284.97,4.41
96,2612310.115634312,1266111.7777021995,285.07,3.17
97,2612206.262856534,1266080.2364323582,285.63,3.34
98,2612261.140865533,1266104.1671691411,285.21,3.18
99,2612308.3028238188,1266110.2400037867,284.92,3.23
100,2612274.914261686,1266135.903938213,285.21,2.2
101,2612404.7650225395,1266081.7886148978,284.74,5.86
102,2612195.166490619,1266058.3891265937,285.7,2.13
103,2612129.07375879,1266656.9505301025,284.72,6.51
104,2612297.7955428693,1266103.4166342216,285.15,2.71
105,2612247.181606534,1266099.1618787867,285.15,2.99
106,2612235.647318979,1266145.3877701098,284.8,4.81
107,2612244.006273901,1266097.936082218,285.06,2.85
